A,Q,Stable
1,1,1
2,1,1
3,1,0
3,2,1
3,3,0
4,1,0
4,2,1
4,3,0
5,1,0
5,2,0
5,3,0
5,4,0
6,1,0
6,2,0
6,3,1
6,3,0
6,4,0
6,5,0
7,1,0
7,2,0
7,3,1
7,3,0
7,4,0
7,4,0
7,5,0
8,2,0
8,3,0
8,3,0
8,4,0
8,4,0
8,4,0
8,5,0
8,5,0
8,6,0
9,2,0
9,3,0
9,4,1
9,4,0
9,5,0
9,5,0
9,6,0
10,2,0
10,3,0
10,3,0
10,3,0
10,4,0
10,4,0
10,5,1
10,5,0
10,6,0
10,7,0
11,3,0
11,4,0
11,4,0
11,5,1
11,5,0
11,5,0
11,6,0
11,6,0
11,7,0
11,7,0
11,8,0
12,3,0
12,4,0
12,4,0
12,5,0
12,5,0
12,6,1
12,6,0
12,6,0
12,7,0
12,7,0
12,8,0
13,3,0
13,4,0
13,4,0
13,5,0
13,6,1
13,6,0
13,7,0
13,7,0
13,8,0
13,9,0
14,4,0
14,4,0
14,5,0
14,5,0
14,6,0
14,6,0
14,7,1
14,7,0
14,8,0
14,9,0
15,4,0
15,5,0
15,6,0
15,7,1
15,7,0
15,8,0
15,8,0
15,9,0
15,10,0
16,4,0
16,5,0
16,6,0
16,7,0
16,7,0
16,7,0
16,8,1
16,8,0
16,8,0
16,8,0
16,9,0
16,10,0
17,5,0
17,6,0
17,7,0
17,8,1
17,8,0
17,9,0
17,9,0
17,10,0
17,11,0
18,5,0
18,6,0
18,7,0
18,8,1
18,8,0
18,9,0
18,9,0
18,9,0
18,10,0
18,11,0
19,5,0
19,6,0
19,7,0
19,8,0
19,9,1
19,9,0
19,10,0
19,10,0
19,11,0
19,12,0
20,5,0
20,6,0
20,7,0
20,8,0
20,9,0
20,9,0
20,10,1
20,10,0
20,10,0
20,11,0
20,11,0
20,12,0
21,5,0
21,6,0
21,7,0
21,8,0
21,9,0
21,10,1
21,10,0
21,11,0
21,11,0
21,12,0
21,13,0
22,6,0
22,7,0
22,8,0
22,9,0
22,10,1
22,10,0
22,11,0
22,11,0
22,11,0
22,12,0
22,12,0
22,13,0
22,14,0
23,6,0
23,7,0
23,8,0
23,9,0
23,10,0
23,11,1
23,11,0
23,11,0
23,12,0
23,12,0
23,13,0
23,13,0
23,14,0
24,7,0
24,8,0
24,9,0
24,10,0
24,11,0
24,11,0
24,11,0
24,12,1
24,12,0
24,12,0
24,13,0
24,13,0
24,13,0
24,14,0
24,15,0
25,7,0
25,8,0
25,9,0
25,10,0
25,11,0
25,12,1
25,12,0
25,13,0
25,13,0
25,14,0
25,15,0
26,8,0
26,9,0
26,9,0
26,10,0
26,11,0
26,11,0
26,12,1
26,13,0
26,13,0
26,14,0
26,14,0
26,15,0
26,15,0
26,16,0
27,8,0
27,9,0
27,10,0
27,11,0
27,12,0
27,13,1
27,13,0
27,14,0
27,14,0
27,15,0
27,15,0
27,16,0
28,8,0
28,9,0
28,10,0
28,11,0
28,12,0
28,13,0
28,13,0
28,14,1
28,14,0
28,14,0
28,14,0
28,15,0
28,15,0
28,16,0
28,17,0
29,9,0
29,10,0
29,11,0
29,12,0
29,13,0
29,14,1
29,14,0
29,15,0
29,15,0
29,16,0
29,17,0
29,18,0
30,9,0
30,10,0
30,11,0
30,12,0
30,13,0
30,14,1
30,15,0
30,15,0
30,16,0
30,17,0
30,18,0
31,9,0
31,10,0
31,11,0
31,12,0
31,13,0
31,14,0
31,15,1
31,15,0
31,16,0
31,16,0
31,17,0
31,17,0
31,18,0
31,19,0
32,10,0
32,11,0
32,12,0
32,13,0
32,13,0
32,14,0
32,15,0
32,15,0
32,16,1
32,16,0
32,16,0
32,17,0
32,17,0
32,18,0
32,19,0
32,19,0
33,10,0
33,11,0
33,12,0
33,13,0
33,14,0
33,15,0
33,16,1
33,16,0
33,17,0
33,17,0
33,18,0
33,19,0
33,20,0
34,10,0
34,11,0
34,12,0
34,13,0
34,13,0
34,14,0
34,14,0
34,15,0
34,16,1
34,17,0
34,17,0
34,18,0
34,18,0
34,19,0
34,20,0
35,11,0
35,12,0
