snid,z,alpha,mu_obs,mu_qfd,mu_lcdm,residual_qfd,residual_lcdm,residual_ln_A,chi2_per_obs
1346627,0.681930,21.7709,19.4174,42.8405,43.0775,-23.4232,-23.6601,21.573522,-12.36
1249745,0.726449,21.8130,19.5089,42.8631,43.2455,-23.3542,-23.7366,21.509987,-10.81
1293788,0.817284,22.3772,19.1522,42.8736,43.5597,-23.7214,-24.4075,21.848214,-12.42
1294436,0.178001,19.6949,18.7548,40.8364,39.6749,-22.0817,-20.9202,20.337976,-10.56
1443078,0.610964,25.4164,15.2207,42.7765,42.7867,-27.5558,-27.5661,25.379821,-11.43
1305219,0.616326,21.4613,19.5338,42.7826,42.8098,-23.2489,-23.2760,21.412989,-11.92
1280182,0.241756,16.6967,22.6748,41.4403,40.4195,-18.7656,-17.7447,17.283740,-12.09
1345594,0.422410,22.8571,17.1980,42.3781,41.8245,-25.1802,-24.6265,23.191784,-10.76
1291631,0.270279,20.2839,19.0222,41.6485,40.6952,-22.6263,-21.6731,20.839634,-12.10
1337405,0.222660,17.6493,21.4618,41.2822,40.2176,-19.8203,-18.7558,18.255213,-11.95
1305486,0.898881,22.3449,19.3939,42.8486,43.8143,-23.4547,-24.4204,21.602532,-12.33
1258222,0.331879,19.4444,20.3794,42.0083,41.2095,-21.6288,-20.8300,19.920876,-11.81
1337447,0.286159,20.0361,19.4152,41.7519,40.8374,-22.3367,-21.4222,20.572851,-11.97
1641288,0.545293,25.5971,14.7775,42.6808,42.4878,-27.9033,-27.7103,25.699912,-11.61
1248243,0.323944,22.1571,17.3816,41.9677,41.1484,-24.5861,-23.7668,22.644607,-11.08
1592028,0.325099,22.3116,17.2216,41.9737,41.1574,-24.7521,-23.9357,22.797487,-11.53
1249939,0.191962,23.8022,14.4592,40.9890,39.8570,-26.5298,-25.3978,24.434851,-8.04
1386047,0.491812,21.1916,19.3366,42.5717,42.2182,-23.2350,-22.8816,21.400264,-12.51
1776324,0.912523,24.2751,17.3309,42.8416,43.8547,-25.5107,-26.5238,23.496227,-12.03
1371111,0.883518,22.3256,19.3775,42.8555,43.7681,-23.4780,-24.3907,21.624072,-12.23
1264631,0.552993,25.4551,14.9621,42.6941,42.5245,-27.7319,-27.5624,25.542065,-11.32
1639025,0.661896,22.3212,18.7550,42.8261,42.9984,-24.0711,-24.2434,22.170295,-12.17
1778066,0.312545,18.3498,21.4376,41.9067,41.0582,-20.4691,-19.6207,18.852769,-11.97
1247451,0.781086,26.7096,14.3500,42.8747,43.4387,-28.5247,-29.0887,26.272199,-10.93
1266673,0.340173,17.5334,22.5079,42.0490,41.2719,-19.5411,-18.7639,17.998021,-11.82
1367183,0.775114,21.4226,20.0736,42.8742,43.4182,-22.8006,-23.3447,21.000163,-11.65
1304208,0.230775,19.0616,20.0061,41.3514,40.3053,-21.3453,-20.2992,19.659729,-11.56
1592067,0.691909,22.7711,18.3628,42.8467,43.1160,-24.4838,-24.7532,22.550426,-11.83
1291733,0.547843,23.1308,17.4654,42.6853,42.5000,-25.2198,-25.0345,23.228322,-12.05
1263301,1.154807,25.4518,16.5646,42.6104,44.4869,-26.0457,-27.9222,23.989017,-12.13
1939023,0.317514,19.3550,20.3804,41.9337,41.0979,-21.5533,-20.7175,19.851281,-12.29
1296368,0.822257,23.6448,17.7891,42.8729,43.5759,-25.0839,-25.7868,23.103085,-12.05
1533105,0.343219,20.1123,19.7272,42.0636,41.2944,-22.3364,-21.5672,20.572565,-12.39
1303765,0.657718,20.7569,20.4397,42.8228,42.9816,-22.3831,-22.5419,20.615570,-11.48
1317372,0.743926,21.5771,19.8166,42.8686,43.3088,-23.0520,-23.4921,21.231646,-12.26
1338843,0.129683,21.4795,16.1295,40.1792,38.9220,-24.0497,-22.7925,22.150629,-7.85
1283077,0.650578,21.4709,19.6409,42.8168,42.9527,-23.1759,-23.3119,21.345773,-12.00
1259944,0.522074,21.1415,19.5206,42.6372,42.3739,-23.1166,-22.8533,21.291195,-11.91
1293957,0.281378,19.6150,19.8358,41.7216,40.7954,-21.8859,-20.9596,20.157618,-12.10
1295079,0.544363,21.4590,19.2667,42.6792,42.4833,-23.4125,-23.2166,21.563722,-11.99
1936192,0.293901,18.0917,21.5842,41.7994,40.9041,-20.2152,-19.3198,18.618849,-11.64
1317612,0.104421,23.1459,13.8497,39.7186,38.4156,-25.8689,-24.5659,23.826132,-3.12
1303466,0.652740,21.4702,19.6488,42.8186,42.9615,-23.1698,-23.3128,21.340215,-11.10
1255426,0.467813,20.6935,19.7687,42.5120,42.0882,-22.7433,-22.3195,20.947337,-11.92
1301922,0.526163,21.3026,19.3626,42.6453,42.3943,-23.2827,-23.0317,21.444127,-12.05
1773066,0.451658,22.5892,17.6342,42.4677,41.9972,-24.8334,-24.3630,22.872442,-12.02
1892067,0.703703,25.5109,15.4250,42.8531,43.1609,-27.4282,-27.7360,25.262262,-10.01
1774041,0.147113,21.0963,16.8193,40.4437,39.2198,-23.6245,-22.4006,21.758953,-10.82
1411067,0.555591,19.9609,20.9376,42.6984,42.5368,-21.7608,-21.5992,20.042483,-12.30
1255612,0.302454,19.5371,20.0772,41.8498,40.9759,-21.7727,-20.8987,20.053355,-12.19
1246958,0.655542,25.7304,15.0327,42.8210,42.9729,-27.7883,-27.9402,25.593981,-11.67
1319667,0.677557,22.1670,18.9733,42.8376,43.0604,-23.8643,-24.0871,21.979801,-11.79
1247971,1.128721,25.7709,16.1686,42.6438,44.4255,-26.4752,-28.2569,24.384558,-11.95
1773124,0.204347,21.0654,17.5665,41.1137,40.0085,-23.5472,-22.4420,21.687789,-12.34
1929195,0.883417,21.5057,20.2673,42.8555,43.7678,-22.5882,-23.5005,20.804493,-10.04
1287437,0.336809,22.6731,16.9059,42.0327,41.2467,-25.1267,-24.3408,23.142586,-10.21
1309899,0.296996,19.7725,19.7821,41.8179,40.9303,-22.0358,-21.1481,20.295686,-10.98
1246477,0.291522,19.5948,19.9346,41.7850,40.8837,-21.8504,-20.9491,20.124942,-12.29
1316712,0.306007,21.0013,18.5128,41.8702,41.0052,-23.3573,-22.4923,21.512906,-12.19
1256792,0.673242,23.3919,17.6295,42.8346,43.0435,-25.2051,-25.4140,23.214752,-11.68
1339276,0.963629,22.0043,19.9147,42.8091,44.0008,-22.8944,-24.0861,21.086484,-12.25
1329195,0.572986,19.9116,21.0580,42.7259,42.6178,-21.6678,-21.5597,19.956810,-10.81
1551083,0.803006,21.1184,20.4806,42.8748,43.5126,-22.3942,-23.0320,20.625811,-12.27
1321276,0.331214,22.2681,17.3093,42.0049,41.2044,-24.6956,-23.8950,22.745458,-11.60
1946123,0.148363,19.4190,18.6588,40.4614,39.2399,-21.8025,-20.5811,20.080882,-11.31
1281008,0.413905,21.4362,18.6965,42.3496,41.7722,-23.6532,-23.0757,21.785392,-9.98
1289441,0.967469,22.1956,19.7157,42.8062,44.0115,-23.0906,-24.2958,21.267215,-12.44
1329266,0.422363,21.9198,18.2153,42.3780,41.8242,-24.1626,-23.6088,22.254591,-12.44
1311496,0.690658,21.8540,19.3547,42.8459,43.1112,-23.4912,-23.7565,21.636241,-11.71
1279547,0.258929,20.9647,18.1899,41.5694,40.5889,-23.3795,-22.3990,21.533303,-11.84
1337221,0.668752,22.4166,18.6739,42.8314,43.0257,-24.1575,-24.3518,22.249862,-11.71
1343542,0.785122,25.9477,15.1884,42.8749,43.4525,-27.6865,-28.2640,25.500174,-11.47
1249035,0.555160,25.1005,15.3556,42.6977,42.5348,-27.3421,-27.1792,25.182991,-7.82
1327408,0.612398,21.5830,19.3878,42.7781,42.7929,-23.3903,-23.4051,21.543280,-11.77
1282599,0.703048,21.8830,19.3618,42.8528,43.1584,-23.4910,-23.7966,21.635972,-11.65
1338288,0.138400,21.1355,16.6441,40.3161,39.0753,-23.6719,-22.4312,21.802639,-8.86
1291348,0.311127,20.8144,18.7518,41.8989,41.0468,-23.1470,-22.2950,21.319198,-11.22
1337496,0.551748,19.2438,21.7010,42.6920,42.5186,-20.9909,-20.8176,19.333350,-11.47
1324062,0.703247,20.2394,21.1469,42.8529,43.1592,-21.7060,-22.0123,19.991920,-12.26
1300390,0.267646,21.9197,17.2248,41.6306,40.6709,-24.4057,-23.4461,22.478520,-10.87
1330903,0.564289,22.3620,18.3643,42.7125,42.5776,-24.3482,-24.2132,22.425484,-11.94
1291322,1.342187,27.2185,14.9730,42.3227,44.8908,-27.3498,-29.9179,25.190058,-12.30
1336905,0.171505,20.1858,18.1410,40.7606,39.5857,-22.6196,-21.4447,20.833467,-12.25
1773078,0.271424,22.3671,16.7696,41.6562,40.7058,-24.8867,-23.9362,22.921457,-9.40
1246369,0.652627,26.1862,14.5281,42.8185,42.9611,-28.2904,-28.4330,26.056456,-6.55
1282139,0.619129,25.8734,14.7533,42.7858,42.8218,-28.0325,-28.0685,25.818863,-11.45
1770702,0.338465,24.5958,14.8291,42.0408,41.2591,-27.2117,-26.4301,25.062914,-10.39
1774038,0.146762,21.8230,16.0252,40.4388,39.2142,-24.4136,-23.1890,22.485756,-8.43
1256419,0.233284,22.0687,16.7647,41.3722,40.3318,-24.6075,-23.5671,22.664313,-11.19
1286201,1.313076,25.5211,16.7684,42.3724,44.8320,-25.6040,-28.0636,23.582195,-12.10
1247232,0.954773,24.1202,17.5973,42.8154,43.9760,-25.2181,-26.3787,23.226695,-11.80
1248557,0.542106,21.7712,18.9188,42.6751,42.4724,-23.7564,-23.5536,21.880444,-12.57
1773303,0.642750,21.0934,20.0244,42.8097,42.9207,-22.7854,-22.8963,20.986083,-10.05
1293507,0.741102,22.8479,18.4286,42.8678,43.2986,-24.4392,-24.8700,22.509346,-11.98
1262067,0.770094,22.0718,19.3547,42.8737,43.4009,-23.5190,-24.0462,21.661796,-10.17
1260280,0.686655,21.4099,19.8243,42.8435,43.0958,-23.0192,-23.2715,21.201462,-10.83
1309227,0.925755,21.4356,20.4451,42.8341,43.8933,-22.3890,-23.4481,20.621032,-11.94
1298799,1.151218,26.1629,15.7859,42.6151,44.4785,-26.8292,-28.6926,24.710621,-10.12
1308568,0.643041,24.0462,16.8194,42.8100,42.9219,-25.9906,-26.1025,23.938202,-10.58
1297365,0.343164,19.5509,20.3364,42.0634,41.2940,-21.7269,-20.9576,20.011221,-12.10
1288366,0.238109,21.0554,17.9093,41.4114,40.3821,-23.5021,-22.4728,21.646232,-11.35
1323349,0.504911,20.8425,19.7727,42.6013,42.2867,-22.8286,-22.5140,21.025956,-12.22
1246314,0.383375,21.1958,18.7911,42.2376,41.5758,-23.4465,-22.7847,21.594984,-12.41
1310993,0.769844,23.0339,18.3094,42.8736,43.4000,-24.5642,-25.0907,22.624505,-12.07
1817269,0.530086,21.6295,19.0239,42.6529,42.4137,-23.6290,-23.3898,21.763082,-12.52
1324442,0.626592,21.8915,19.1026,42.7938,42.8534,-23.6912,-23.7508,21.820405,-10.80
1281892,0.272939,20.1880,19.1475,41.6664,40.7196,-22.5189,-21.5721,20.740674,-11.71
1273415,0.861065,23.0921,18.4893,42.8638,43.6992,-24.3745,-25.2099,22.449735,-11.84
1310178,0.772618,24.4128,16.8200,42.8739,43.4096,-26.0539,-26.5896,23.996537,-11.45
1258420,0.225747,17.0931,22.0956,41.3089,40.2513,-19.2133,-18.1557,17.696082,-11.51
1266965,0.404835,21.0895,19.0249,42.3180,41.7153,-23.2931,-22.6904,21.453781,-11.83
1342255,0.218854,22.4082,16.2574,41.2486,40.1755,-24.9912,-23.9181,23.017751,-5.39
1305350,0.492628,22.0239,18.4365,42.5736,42.2225,-24.1370,-23.7860,22.231016,-11.67
1345143,0.665429,21.3608,19.8094,42.8289,43.0125,-23.0195,-23.2031,21.201709,-11.47
1249304,0.636805,25.9513,14.7299,42.8041,42.8961,-28.0742,-28.1663,25.857315,-11.42
1370906,0.618418,25.7221,14.9151,42.7850,42.8187,-27.8699,-27.9036,25.669093,-10.07
1294199,0.573582,22.7345,17.9954,42.7268,42.6205,-24.7314,-24.6251,22.778425,-12.19
1250925,0.551462,21.6904,19.0436,42.6915,42.5172,-23.6479,-23.4736,21.780480,-12.38
1370968,0.588880,20.4394,20.5444,42.7485,42.6897,-22.2041,-22.1453,20.450756,-9.81
1547048,0.544540,22.7572,17.8579,42.6795,42.4841,-24.8216,-24.6262,22.861521,-12.22
1283289,0.334377,21.3469,18.3302,42.0207,41.2284,-23.6905,-22.8982,21.819783,-11.80
1294706,0.879915,21.8989,19.8318,42.8570,43.7572,-23.0252,-23.9254,21.206977,-12.34
1304172,0.315082,18.9315,20.8236,41.9206,41.0786,-21.0970,-20.2550,19.431047,-11.66
1246707,1.013379,23.8830,17.9843,42.7684,44.1359,-24.7841,-26.1516,22.826956,-12.44
1336928,0.696500,19.2455,22.2052,42.8493,43.1336,-20.6441,-20.9284,19.013932,-11.20
1297772,0.607573,21.1042,19.8904,42.7724,42.7721,-22.8820,-22.8816,21.075103,-11.68
1290821,0.806876,23.2023,18.2286,42.8746,43.5254,-24.6460,-25.2969,22.699817,-10.52
1300205,0.631303,20.9616,20.1285,42.7986,42.8732,-22.6702,-22.7447,20.879983,-11.46
1770178,0.293938,20.9134,18.5209,41.7996,40.9044,-23.2787,-22.3834,21.440471,-11.87
1310304,0.668806,25.5153,15.3097,42.8314,43.0259,-27.5217,-27.7163,25.348445,-11.45
1339703,0.492716,22.7661,17.6311,42.5738,42.2230,-24.9427,-24.5919,22.973054,-11.74
1699143,0.535184,19.1667,21.7186,42.6625,42.4388,-20.9439,-20.7201,19.290031,-11.65
1281039,0.717670,26.7747,14.0954,42.8596,43.2132,-28.7642,-29.1177,26.492790,-11.81
1291996,1.116705,25.4972,16.4425,42.6586,44.3967,-26.2161,-27.9542,24.145910,-11.91
1317410,0.599881,22.1758,18.6994,42.7630,42.7385,-24.0636,-24.0391,22.163397,-10.70
1674054,0.052161,25.5703,9.7102,38.2170,36.8298,-28.5069,-27.1197,26.255789,1.68
1281352,0.209463,19.3074,19.5289,41.1626,40.0686,-21.6337,-20.5397,19.925359,-11.87
1265260,0.603106,20.5376,20.4896,42.7670,42.7526,-22.2774,-22.2630,20.518266,-12.15
1255988,0.523726,22.4428,18.1147,42.6405,42.3822,-24.5258,-24.2675,22.589122,-11.73
1291286,0.215682,16.2196,22.9449,41.2201,40.1399,-18.2752,-17.1950,16.832072,-12.31
1250867,0.229348,23.3350,15.3529,41.3395,40.2901,-25.9866,-24.9372,23.934564,-11.42
1290453,0.693322,22.9579,18.1645,42.8475,43.1214,-24.6830,-24.9569,22.733874,-12.31
1372123,0.650573,21.7412,19.3473,42.8167,42.9527,-23.4695,-23.6054,21.616166,-12.39
1289656,0.539431,22.0874,18.5647,42.6703,42.4594,-24.1056,-23.8948,22.202114,-11.98
1291202,0.597213,21.4918,19.4323,42.7596,42.7267,-23.3273,-23.2945,21.485234,-10.82
1327275,0.151318,18.1391,20.0913,40.5024,39.2868,-20.4111,-19.1955,18.799324,-11.15
1861225,0.398452,24.3481,15.4523,42.2949,41.6745,-26.8426,-26.2222,24.722945,-11.80
1294647,0.219375,18.3926,20.6225,41.2532,40.1813,-20.6308,-19.5588,19.001635,-11.90
1333481,0.128115,20.7259,16.9212,40.1535,38.8933,-23.2323,-21.9721,21.397749,-11.74
