,A,Z,Exp,Model,Residual
0,1,1,0.5110734840000077,26.552022037976528,26.04094855397652
1,2,1,-0.42007226500004435,28.972664920533447,29.39273718553349
2,4,2,-24.686674450000282,32.97993303013065,57.666607480130935
3,6,3,-26.58050504000039,18.378997821054575,44.959502861054965
4,12,6,-81.33477096000024,38.128282761081095,119.46305372108134
5,16,8,-113.18336344999989,110.49933284485918,223.68269629485906
6,40,20,-305.96230520000245,727.4585343942026,1033.420839594205
7,56,26,-440.1694274800029,1656.3002968356077,2096.4697243156106
8,120,50,-904.4454506000038,7502.177921143965,8406.623371743968
9,197,79,-1366.385574259999,17624.242647267198,18990.628221527197
10,208,82,-1431.5512156400073,19102.043449019366,20533.594664659373
11,238,92,-1565.8318920400052,23832.42953122889,25398.261423268894
