A,Z,N,element,target,sigma
1,0,1,n,0,0.1
1,1,0,H,1,0.1
2,1,1,H,1,0.1
3,1,2,H,1,0.1
3,2,1,He,2,0.1
4,2,2,He,2,0.1
4,1,3,H,1,0.1
4,3,1,Li,3,0.1
5,1,4,H,1,0.1
5,2,3,He,2,0.1
5,3,2,Li,3,0.1
6,3,3,Li,3,0.1
6,2,4,He,2,0.1
6,1,5,H,1,0.1
6,4,2,Be,4,0.1
7,4,3,Be,4,0.1
7,3,4,Li,3,0.1
7,2,5,He,2,0.1
7,5,2,B,5,0.1
8,2,6,He,2,0.1
8,6,2,C,6,0.1
8,4,4,Be,4,0.1
8,3,5,Li,3,0.1
8,5,3,B,5,0.1
9,4,5,Be,4,0.1
9,3,6,Li,3,0.1
9,5,4,B,5,0.1
9,6,3,C,6,0.1
9,2,7,He,2,0.1
10,2,8,He,2,0.1
10,3,7,Li,3,0.1
10,7,3,N,7,0.1
10,6,4,C,6,0.1
10,4,6,Be,4,0.1
10,5,5,B,5,0.1
11,8,3,O,8,0.1
11,7,4,N,7,0.1
11,5,6,B,5,0.1
11,4,7,Be,4,0.1
11,6,5,C,6,0.1
11,3,8,Li,3,0.1
12,8,4,O,8,0.1
12,4,8,Be,4,0.1
12,3,9,Li,3,0.1
12,7,5,N,7,0.1
12,6,6,C,6,0.1
12,5,7,B,5,0.1
13,7,6,N,7,0.1
13,3,10,Li,3,0.1
13,4,9,Be,4,0.1
13,5,8,B,5,0.1
13,8,5,O,8,0.1
13,6,7,C,6,0.1
14,7,7,N,7,0.1
14,5,9,B,5,0.1
14,6,8,C,6,0.1
14,8,6,O,8,0.1
14,9,5,F,9,0.1
14,4,10,Be,4,0.1
15,9,6,F,9,0.1
15,6,9,C,6,0.1
15,7,8,N,7,0.1
15,8,7,O,8,0.1
15,5,10,B,5,0.1
15,10,5,Ne,10,0.1
15,4,11,Be,4,0.1
16,10,6,Ne,10,0.1
16,4,12,Be,4,0.1
16,5,11,B,5,0.1
16,8,8,O,8,0.1
16,9,7,F,9,0.1
16,6,10,C,6,0.1
16,7,9,N,7,0.1
17,6,11,C  2,6,0.1
17,5,12,B,5,0.1
17,11,6,Na,11,0.1
17,9,8,F,9,0.1
17,10,7,Ne,10,0.1
17,7,10,N,7,0.1
17,8,9,O,8,0.1
18,5,13,B,5,0.1
18,7,11,N,7,0.1
18,6,12,C,6,0.1
18,9,9,F,9,0.1
18,10,8,Ne,10,0.1
18,11,7,Na,11,0.1
18,8,10,O,8,0.1
19,5,14,B,5,0.1
19,6,13,C,6,0.1
19,8,11,O,8,0.1
19,7,12,N  p,7,0.1
19,9,10,F,9,0.1
19,12,7,Mg,12,0.1
19,11,8,Na,11,0.1
19,10,9,Ne,10,0.1
20,7,13,N,7,0.1
20,8,12,O,8,0.1
20,6,14,C,6,0.1
20,5,15,B,5,0.1
20,12,8,Mg,12,0.1
20,11,9,Na,11,0.1
20,10,10,Ne,10,0.1
20,9,11,F,9,0.1
21,7,14,N,7,0.1
21,8,13,O,8,0.1
21,9,12,F,9,0.1
21,10,11,Ne,10,0.1
21,11,10,Na,11,0.1
21,12,9,Mg,12,0.1
21,5,16,B,5,0.1
22,6,16,C,6,0.1
22,7,15,N,7,0.1
22,8,14,O,8,0.1
22,9,13,F,9,0.1
22,12,10,Mg,12,0.1
22,10,12,Ne,10,0.1
22,11,11,Na,11,0.1
23,9,14,F,9,0.1
23,13,10,Al,13,0.1
23,12,11,Mg,12,0.1
23,11,12,Na,11,0.1
23,10,13,Ne,10,0.1
23,8,15,O,8,0.1
23,7,16,N,7,0.1
24,10,14,Ne,10,0.1
24,8,16,O,8,0.1
