A,Z,N,element,binding_energy,sigma
4,1,3,H,6.8817964,0.4
4,2,2,He,28.2956624,6e-07
4,3,1,Li,4.615041199999999,0.848528
5,1,4,H,6.681796000000001,0.447215
5,2,3,He,27.5606625,0.1
5,3,2,Li,26.330662499999995,0.25
6,1,5,H,5.769837,1.524762
6,2,4,He,29.271119400000003,0.00031800000000000003
6,3,3,Li,31.9939872,8.640000000000002e-06
6,4,2,Be,26.923486800000003,0.032687999999999995
7,2,5,He,28.8614046,0.052913
7,3,4,Li,39.2450807,2.9330000000000005e-05
7,4,3,Be,37.6008409,0.0004969999999999999
7,5,2,B,24.9109385,0.17604999999999998
8,2,6,He,31.396168,0.000712
8,3,5,Li,41.2776992,0.000376
8,4,4,Be,56.4994848,0.00028000000000000003
8,5,3,B,37.7372408,0.008
8,6,2,C,24.8121936,0.145944
9,2,7,He,30.141342,0.42134400000000005
9,3,6,Li,45.3399165,0.001674
9,4,5,Be,58.1640237,0.000684
9,5,4,B,56.3136417,0.008127
9,6,3,C,39.0368097,0.019233
10,2,8,He,29.951340000000002,0.92848
10,3,7,Li,45.313512,0.12721
10,4,6,Be,64.97630600000001,0.0008100000000000001
10,5,5,B,64.750835,0.00015000000000000001
10,6,4,C,60.320426,0.0007000000000000001
10,7,3,N,36.436724,4.0
11,3,8,Li,45.7091987,0.006765
11,4,7,Be,65.4779422,0.0026179999999989
11,5,6,B,76.2050553,0.000132
11,6,5,C,73.4410193,0.00066
11,7,4,N,58.9424253,0.055
11,8,3,O,34.7868092,0.6604179999999988
12,3,9,Li,45.4991988,0.360072
12,4,8,Be,68.64866760000001,0.022908
12,5,7,B,79.5746844,0.015851999999999998
12,7,5,N,74.04131999999998,0.012
12,8,4,O,58.58370599999999,0.14400000000000002
13,3,10,Li,45.5991991,0.9100389999999999
13,4,9,Be,68.13866670000002,0.13233999999999999
13,5,8,B,84.4534522,0.013000000000000001
13,6,7,C,97.1080435,2.9899999999999997e-06
13,7,6,N,94.1052242,0.00351
13,8,5,O,75.5529268,0.123838
14,4,10,Be,69.9145622,1.8514300000000001
14,5,9,B,85.4230314,0.29698199999999997
14,6,8,C,105.2844772,5.25e-05
14,7,7,N,104.6586072,3.08e-06
14,8,6,O,98.73189620000001,0.00035
14,9,5,F,73.9929274,0.575666
15,4,11,Be,68.114562,2.486955
15,5,10,B,88.200657,0.31543499999999997
15,6,9,C,106.502544,0.012
15,7,8,N,115.4919045,8.7e-06
15,8,7,O,111.95537249999998,0.00735
15,9,6,F,97.4618955,0.21
15,10,5,Ne,73.0309275,1.00026
16,4,12,Be,68.5645616,2.652752
16,5,11,B,88.117656,0.3930559999999984
16,6,10,C,110.7528736,0.057248
16,7,9,N,117.9807536,0.036816
16,8,8,O,127.6193152,4.8e-06
16,9,7,F,111.424784,0.085824
16,10,6,Ne,97.3308432,0.32768
17,5,12,B,89.5843509,3.469768
17,6,11,C  2,111.48644540000001,0.295205
17,7,10,N,123.8658998,0.255
17,8,9,O,131.7623947,1.0880000000000001e-05
17,9,8,F,128.2195828,0.004216
17,10,7,Ne,112.8884847,0.006018
17,11,6,Na,93.8870101,1.0134720000000002
18,5,13,B,89.5793508,3.6749699999999983
18,6,12,C,115.67037780000001,0.54
18,7,11,N,126.69412860000001,0.33426
18,8,10,O,139.8077658,1.152e-05
18,9,9,F,137.3694894,0.008334
18,10,8,Ne,132.1426386,0.006534
18,11,7,Na,111.6399168,1.689858
19,5,14,B,89.6730574,9.981897
19,6,13,C,116.247206,1.869390999999998
19,7,12,N  p,132.0223588,0.31167599999999995
19,8,11,O,143.7634088,0.050103
19,9,10,F,147.8013648,1.558e-05
19,10,9,Ne,143.7795189,0.00304
19,11,8,Na,131.8198416,0.20016499999999998
19,12,7,Mg,112.1284848,1.140019
20,5,15,B,88.113058,10.92714
20,6,14,C,119.228712,4.6125
20,7,13,N,134.183434,1.5778800000000002
20,8,12,O,151.37141400000002,0.0177
20,9,11,F,154.402702,0.0006000000000000001
20,10,10,Ne,160.644824,3.08e-05
20,11,9,Na,145.970056,0.02218
20,12,8,Mg,134.560504,0.03726
21,5,16,B,87.20305649999999,11.731943999999999
21,7,14,N,138.7893339,2.815008
21,8,13,O,155.1768687,0.252
21,9,12,F,162.5041614,0.0378
21,10,11,Ne,167.4059856,0.0007980000000000001
21,11,10,Na,163.0767201,0.000882
21,12,9,Mg,149.2056657,0.015855
22,6,16,C,119.2637116,5.09278
22,7,15,N,140.3277634,4.5711379999999995
22,8,14,O,162.0271884,1.252262
22,9,13,F,167.7344988,0.2727779999999978
22,10,12,Ne,177.7702432,0.0003959999999999999
22,11,11,Na,174.14457280000002,0.0029040000000000003
22,12,10,Mg,168.58081900000002,0.003498
23,7,16,N,143.4434583,9.67311
23,8,15,O,164.7601688,2.799376
23,9,14,F,175.3139281,0.76636
23,10,13,Ne,182.9708903,0.002392
23,11,12,Na,186.5643528,4.163e-05
23,12,11,Mg,181.72582670000003,0.000736
23,13,10,Al,168.7217325,0.007935
24,8,16,O,168.952452,3.956976
24,9,15,F,179.1259944,2.34408
24,10,14,Ne,191.8398048,0.012312
24,11,13,Na,193.5237168,0.000408
24,12,12,Mg,198.25704720000004,0.000312
24,13,11,Al,183.5899344,0.005472
24,14,10,Si,172.0135896,0.46732799999999997
25,8,17,O,168.19514500000002,4.1271
25,9,16,F,183.40766250000001,2.41105
25,10,15,Ne,195.99498499999996,0.726125
25,11,14,Na,202.53494750000002,0.03
25,12,13,Mg,205.58757,0.0011749999999999998
25,13,12,Al,200.528415,0.0016250000000000001
25,14,11,Si,187.0027725,0.25
26,8,18,O,168.93445400000002,4.288699999999998
26,9,17,F,184.1384922,2.782702
26,10,16,Ne,201.549686,0.4791539999999974
26,11,15,Na,208.1092338,0.091052
26,12,14,Mg,216.68064859999998,0.000754
26,13,13,Al,211.89389780000002,0.001716
26,14,12,Si,206.0424158,0.0028079999999999997
27,9,18,F,185.75098739999999,3.245346
