ell,C_ell_TT_LCDM,C_ell_TT_obs,sigma_TT,C_ell_TE_LCDM,C_ell_TE_obs,sigma_TE,C_ell_EE_LCDM,C_ell_EE_obs,sigma_EE
2,1313.352371095297,1859.840037608969,1100.205547195901,9.070794734560407,11.654734342187949,7.598675990642541,0.13764747467701238,0.23085288096658296,0.11534805929736945
3,1361.0878097037216,1227.8508367567092,963.6397234746237,11.095665388080478,15.578199437096895,7.855646595606476,0.20482053247733467,0.08178784938825123,0.1450744887834224
4,1396.4002633491023,1961.1193271400932,871.8991159655155,12.784223382475838,20.512611462023408,7.98234923004676,0.27081168039552483,0.19911897035298268,0.1691824708295424
5,1424.3194433683905,2649.491399392018,804.4306885179011,14.248446886465615,11.582317224328564,8.04727497843543,0.33556258847374754,0.24957685945198316,0.18964061204061625
6,1447.3599932292163,1271.2910006614566,751.9387357786069,15.544592558644966,10.600293391110315,8.07579632004597,0.3990172638013823,0.026504437451314145,0.20745370351307704
7,1466.966694853023,1300.8466024363504,709.4996645605545,16.705235309621465,7.9377573391641185,8.079503954413246,0.4611221530112738,0.38744152903877604,0.2232136119910554
8,1484.0424490195526,2548.773923795743,674.2165871001363,17.75096111776592,11.094472505762155,8.06445807297065,0.5218262418138708,0.6957287315857315,0.23730293200094524
9,1499.1835049789993,1993.604624200771,644.2516873943296,18.695571301327664,42.38902924597037,8.034146937211874,0.5810811514208404,0.26254124943689966,0.24998577356120077
10,1512.7987158640021,1222.489399945466,618.3709369796371,19.548718797182616,29.49461924918214,7.990731595445681,0.6388412317130289,0.9129708628806508,0.2614536643910519
11,1525.1758098176556,1848.383263564079,595.7081756522928,20.317372434747877,9.59574187209928,7.935633175204374,0.6950636510111303,0.8276657104245798,0.2718509723783427
12,1536.5208422968508,1269.7621178774828,575.6334480896073,21.006688623187298,10.599162560260787,7.869835112606587,0.7497084823110937,0.5431759944902408,0.2812899954832064
13,1546.9829766181247,1287.2571083933383,557.6750599113394,21.620559205120404,25.376247222600654,7.794049666179518,0.8027387858501682,0.7617149456501019,0.28986042055726957
14,1556.6707317855664,1687.68632395569,541.4711612771755,22.161971173434303,26.380734174651806,7.708814857871854,0.8541206878735323,1.3298380295209942,0.2976355195638443
15,1565.6630161757737,557.8647582735623,526.7384434225747,22.63325152981199,26.812756879540796,7.614553537201943,0.9038234554756919,1.1273181323357242,0.30467635884820915
16,1574.0168419819695,688.7006910746092,513.2512020109058,23.03623908187519,21.12111039776319,7.511610767568787,0.9518195673952229,0.954551589275509,0.3110347471486131
17,1581.7728527874729,1300.164120738188,500.82692111174185,23.372408128148543,22.444011693933586,7.400278270291454,0.9980847806460386,0.9227973173306028,0.31675535446938513
18,1588.959367493863,1093.3648004254187,489.3160933925544,23.64295950685333,26.030188305987622,7.280810856532899,1.0425981928730823,1.0672569112729082,0.32187726929000793
19,1595.5953919518015,1745.9925535453292,478.59487096180897,23.848888929726357,24.463319202597045,7.153437740581188,1.0853423003252762,0.9182846787072506,0.32643516527384275
20,1601.6928963719852,1176.2294488158361,468.5596549980579,23.99103914526144,8.41516689763295,7.018370491392866,1.1263030513436139,0.43076712931257655,0.330460190222699
21,1607.2585603509783,958.8373877776867,459.1230426998305,24.070140357599602,22.490082053489132,6.875808721517721,1.1654698952675058,1.8475178082924149,0.3339806534516473
22,1612.2951252235036,2272.145946790012,450.21074322740805,24.086841961530133,18.36032977662455,6.725944219438128,1.2028358266678483,1.2551838561850923,0.3370225642173755
23,1616.8024523622728,1517.0636950102491,441.7591976531288,24.041737751709647,25.192695253100528,6.568963989680729,1.2383974248208016,1.3736122407416655,0.33961005830154123
24,1620.7783582695959,1650.0662670332022,433.71371857075326,23.93538615492328,43.05612683046857,6.40505251265311,1.2721548883418867,1.2523640033896715,0.3417657393748431
25,1624.2192781577762,1017.2380557781257,426.02701884662173,23.768326614710123,26.05935189846637,6.2343934378311,1.304112064905796,1.0515913909753263,0.3435109545606436
26,1627.120796282045,1399.210594203925,418.6580356254069,23.54109296371295,21.64199008514624,6.057170859165357,1.3342764759831922,1.2701574404838163,0.34486601856935173
27,1629.4780717136136,1675.1305907826686,411.570981064053,23.25422440980431,28.668490314147782,5.873570278123807,1.3626593365317698,0.8095080227769074,0.34585039718146826
28,1631.2861813138138,1165.4392917113767,404.734569106563,22.90827461082814,25.651766047053325,5.683779330132776,1.38927556958499,2.1782470079379426,0.3464828582609616
29,1632.5403965931876,1782.1138102496463,398.1213803444644,22.50381920208896,24.809292863030368,5.487988329629624,1.4141438156880857,0.986037773879347,0.3467815965789095
30,1633.2364073722551,1397.9618261148642,391.70733621771126,22.041462058676043,25.24951137546781,5.286390674502722,1.4372864371372651,1.0794373325856361,0.3467643373168786
31,1633.3705023341183,1520.9309449049965,385.47126055600296,21.521840513219143,31.967401915264375,5.079183140431563,1.4587295169844345,1.3062024103269059,0.3464484220610659
32,1632.9397144161023,1404.65552822845,379.39451145772085,20.945629703106363,15.442086394125374,4.866566088276337,1.4785028527762332,1.9239849761034327,0.3458508802952984
33,1631.941937347455,2323.6949896156957,373.4606702457241,20.313546185592504,22.515340272540865,4.648743602357111,1.4966399450027315,1.5016453827321492,0.3449884887858257
34,1630.376018373566,1625.413692472872,367.6552770694664,19.62635093176152,15.526258850394429,4.425923573647061,1.5131779802377539,1.088098296516876,0.3438778207749616
35,1628.2418312211041,1245.3868550296563,361.96560488353464,18.884851788946996,21.21707038644729,4.198317739221053,1.5281578089594658,1.9578129587662383,0.3425352865293515
36,1625.5403325849131,1918.6792710053987,356.3804651966665,18.089905484472347,14.446264613487118,3.966141687539493,1.5416239180465856,1.790878440475065,0.3409771664965008
37,1622.2736048063593,1193.8917272957206,350.890040277317,17.242419230357868,15.685801769349043,3.729614838236057,1.5536243979523416,1.7362721092752305,0.3392196380917072
38,1618.444886926794,1690.6042800865919,345.48573751282527,16.34335197814119,15.313794951419375,3.488960405104761,1.5642109045651056,1.8056128883650744,0.33727879695271956
39,1614.058595910934,947.4570842569929,340.1600624161154,15.39371536456253,18.55966035164863,3.2444053522798106,1.5734386157714466,2.375958506236138,0.3351706733512052
40,1609.1203395220289,1164.3021886996792,334.9065074063024,14.394574382115488,17.146429545812605,2.996180356953726,1.581366182744201,2.3088088432308154,0.332911244330463
41,1603.6369220775548,1668.545901281063,329.71945399479625,13.347047803007593,9.928151799268207,2.744519799099499,1.588055675984989,1.361084964119774,0.33051644204216635
42,1597.6163441084007,1837.3182289897147,324.59408641458595,12.252308380642047,12.38907573904938,2.4896618133623645,1.5935725261574967,2.1262103092423263,0.32800215867674576
43,1591.067796776488,1645.8244721830642,319.5263150587114,11.111582849114171,9.527908136327685,2.2318484694669,1.597985459754636,1.7226623531590555,0.32538424831891616
44,1584.0016517679553,1547.6287972567484,314.51270836085774,9.926151738252289,7.445228013066207,1.9713262174358757,1.601366429649584,1.762413931938481,0.3226785260096196
45,1576.4294472656293,1483.2226682284463,309.5504319691871,8.697349019294347,8.326608613166778,1.7083469036308316,1.603790540587463,1.0624318082166735,0.31990076425597164
46,1568.3638705107812,1117.951079737578,304.6371942437401,7.426561594278059,6.981368451539879,1.4431701196902913,1.60533596968122,1.5513123195034089,0.3170666872008182
47,1559.8187373864978,1344.030177198451,299.7711972556771,6.115228640556403,8.96921478813919,1.1760690478848252,1.606083881982001,1.350701242852636,0.3141919626417573
48,1550.8089693904433,1414.9430606068604,294.95109258930296,4.764840820465334,5.157685679056967,0.9073471384194969,1.6061183412009843,1.8638865848565889,0.3112921920755309
49,1541.3505683109688,1848.1020054260414,290.17594134999155,3.3769393650195134,2.4988487948122504,0.6373979495226461,1.605526215666299,1.9358291253752977,0.3083828989368965
50,1531.46058887557,1629.5447726596515,285.4451778665861,1.9531150395490229,1.7458250764924848,0.3670317003361876,1.604397079605169,0.9706839948056455,0.30547951520098515
51,1521.1571096030461,1026.1684650090601,280.7585766486103,0.495006998388332,0.6002871188831174,0.10307601560149329,1.602823109847964,1.5961554180285473,0.30259736652445185
52,1510.4592020591679,1599.94404337024,276.1162222191339,-0.9956984649445242,-0.6022232377230067,0.18840603742318796,1.6008989780572114,1.9371788220485655,0.2997516561128705
53,1499.3868986891002,1394.82994265971,271.51848149531213,-2.5172692662036797,-3.244492013535345,0.4585311470304765,1.5987217385909638,1.5432860304367957,0.29695744751938474
54,1487.961159377577,1307.2460152436804,266.965978432103,-4.067928972103266,-5.443285713473359,0.7316021603009143,1.5963907121161207,1.8109028507354012,0.29422964660182016
55,1476.203836869,1636.744133034343,262.4595706816887,-5.645858330230979,-3.765324793447851,1.0051141312180996,1.5940073650934274,1.69640123963254,0.29158298289126916
56,1464.13764116385,1730.1358561900843,258.00032805279864,-7.24919688251329,-6.751084298363373,1.2784765367398978,1.5916751852618705,1.690425922230215,0.2890319906533252
57,1451.7861029944588,1687.9489744777657,253.58951258127323,-8.876044657836385,-10.223054120978606,1.5513310358263124,1.5894995532560683,1.5117431251026683,0.28659098995200566
58,1439.1735364719614,1230.016561593336,249.22856004656785,-10.524463939660693,-9.549633107345441,1.823377847594333,1.5875876104960045,1.2417452361882104,0.2842740680537775
59,1426.3250009867943,1350.5929956905447,244.91906278903275,-12.192481104661514,-17.712627597629393,2.0943379410910046,1.5860481234940598,1.2696700075453875,0.2820950615327277
60,1413.2662624371374,1492.9890320389086,240.66275370023666,-13.87808852859141,-13.870109028342947,2.363941535523928,1.5849913447297763,1.783657958059476,0.28006753945497426
61,1400.023753853004,1630.7026094171592,236.46149127371112,-15.579246555696251,-14.716446182099403,2.6319238812858363,1.5845288702480724,1.589942250100096,0.27820478802789955
62,1386.624535478074,1275.3040963714036,232.31724561663967,-17.293885528128047,-14.615328899058257,2.8980235479739402,1.5847734941418352,1.546472116367885,0.2765197970949101
63,1373.0962543666292,1330.7229189615828,228.23208533446856,-19.01990787189292,-22.225828335074652,3.1619817161048633,1.585839060084738,1.4692585957158266,0.275025248836245
64,1359.4671035490533,1111.4177689190296,224.20816521043298,-20.75519023594764,-20.46183664705982,3.42354191787152,1.5878403100850147,1.5042998965042917,0.27373350899874827
65,1345.7657808160388,1082.3040056600257,220.2477146107541,-22.497585681122995,-25.905415592235457,3.682449996627854,1.5908927306354927,1.8763401629227494,0.27265662092079007
66,1332.021447168958,1507.8138679971928,216.3530265539657,-24.244925915602074,-23.23910869550903,3.9384541802092214,1.5951123964396952,1.5039909420979072,0.27180630254245386
67,1318.263684981567,1606.5005600612787,212.52644738958907,-25.995023573725124,-29.747693285311026,4.191305216602384,1.600615811898028,1.2369271797907717,0.2711939464963557
68,1304.5224559163971,1289.4888764036666,208.77036703734902,-27.745674534925097,-29.557951007469985,4.440756545059163,1.6075197505421583,1.8089234244028438,0.27083062326367735
69,1290.828058637643,1496.6398205520086,205.0872097433821,-29.494660279626153,-34.16161334526704,4.68656448781252,1.6159410926095181,1.5604754301544919,0.2707270872569993
70,1277.2110863611485,1350.0733048607854,201.47942531455382,-31.239750278958432,-28.030632829276396,4.928488453805247,1.6259966609535244,1.6345016058186956,0.27089378556206145
71,1263.702384281091,1136.0012638056828,197.94948079612556,-32.97870441516016,-28.543696009126034,5.166291149234874,1.637803055488522,2.074004750038115,0.2713408689412792
72,1250.3330069121682,1320.624398899992,194.49985256167525,-34.70927542955251,-35.976165222467344,5.399738791636167,1.6514764863716436,1.6458824068425406,0.2720782045806192
73,1237.1341753854854,1531.1037473395868,191.1330187874345,-36.42921139498244,-36.21398496587187,5.628601325345431,1.6671326061267921,1.746113117779554,0.273115389956113
74,1224.1372347358315,1217.4072612593684,187.85145228610048,-38.13625820963982,-46.61436057224204,5.852652636869977,1.6848863409186392,1.3613169162039378,0.27446176711464176
75,1211.3736112176664,1500.296974956334,184.6576136777644,-39.828162109161745,-41.64770005304889,6.071670769108227,1.7048517211870968,1.6441951780768675,0.27612643661222347
76,1198.8747696868543,723.2497114647857,181.5539448779041,-41.50267219394419,-41.81823020838296,6.285438133635829,1.727141711854934,1.896662041273584,0.27811827033680603
77,1186.6721710849583,1333.416997228007,178.54286288444615,-43.15754296858848,-26.13878953270022,6.493741720449923,1.7518680423232598,1.3156698207596513,0.2804459224641448
78,1174.7972300627519,1190.085024089385,175.6267538477444,-44.79053689041548,-52.23668319749649,6.6963733046822345,1.7791410364713618,1.836003864978056,0.28311783785494127
79,1163.281272779485,1111.6104203051368,172.80796740897028,-46.39942692398899,-36.30666338687502,6.893129649873249,1.809069442878883,1.837910027920777,0.28614225729623943
80,1152.1554949143408,1167.762976318668,170.08881129388425,-47.98199909859588,-40.92043825157878,7.083812707457006,1.8417602654896192,1.8537141076901937,0.28952721911521945
81,1141.4509199264576,808.5896807180059,167.47154615028322,-49.53605506564054,-47.49632518415142,7.268229812147601,1.8773185949371947,2.181497134268822,0.2932805568415203
82,1131.1983575998183,1094.961638714711,164.95838061860334,-51.059414652920196,-37.9643855786636,7.446193872949106,1.915847440753627,2.0153127635883172,0.29740989275634516
83,1121.4283629092345,1179.4775351591297,162.55146662622028,-52.54991841275965,-49.71539620854527,7.617523559534189,1.95744756468227,2.4037109156214918,0.3019226273332498
84,1112.1711952436049,1349.007994264393,160.2528948969484,-54.00543016099591,-50.97697637820496,7.782043483755013,2.002217315316835,1.6973582933857325,0.306825924736974
85,1103.4567780225225,1021.5365562886143,158.06469066809112,-55.42383950381916,-55.84559541056364,7.939584376065092,2.050252464288128,2.0926781501817255,0.31212669469416227
86,1095.31465874221,969.1987040510828,155.988809608168,-56.803064349491635,-46.90441257737532,8.08998325664319,2.101646044219845,2.128492255650337,0.3178315711758539
