source,snid,ra,dec,z_helio,band,mjd,mag,mag_err,flux_nu_jy,flux_nu_jy_err,zp,zpsys,wavelength_eff_nm
osc,SN2011fe,,,,g,54975.239,21.61,,8.241879277190155e-06,,,AB,468.6
osc,SN2011fe,,,,g,54975.3,21.5854,,8.430750732002111e-06,,,AB,468.6
osc,SN2011fe,,,,g,54975.354,21.75,,7.244797465651983e-06,,,AB,468.6
osc,SN2011fe,,,,g,54975.397,21.46,,9.462943540045959e-06,,,AB,468.6
osc,SN2011fe,,,,g,54975.432,21.389,,1.0102439282018368e-05,,,AB,468.6
osc,SN2011fe,,,,g,54975.459,21.5,,9.120659632811291e-06,,,AB,468.6
osc,SN2011fe,,,,g,54975.481,20.562,,2.1638455014183082e-05,,,AB,468.6
osc,SN2011fe,,,,g,55245.519,21.567,,8.574844417345208e-06,,,AB,468.6
osc,SN2011fe,,,,g,55562.564,21.371,,1.027131974371957e-05,,,AB,468.6
osc,SN2011fe,,,,g,55563.572,21.524,,8.921261075149353e-06,,,AB,468.6
osc,SN2011fe,,,,g,55566.396,20.438,,2.4256394591903433e-05,,,AB,468.6
osc,SN2011fe,,,,g,55569.449,21.6347,,8.056496985160081e-06,,,AB,468.6
osc,SN2011fe,,,,g,55596.444,20.154,,3.150839265062851e-05,,,AB,468.6
osc,SN2011fe,,,,g,55598.299,19.5044,,5.7314729742897254e-05,,,AB,468.6
osc,SN2011fe,,,,g,55598.362,21.05,,1.3804676980399579e-05,,,AB,468.6
osc,SN2011fe,,,,g,55624.439,21.49,,9.2050520573379e-06,,,AB,468.6
osc,SN2011fe,,,,g,55629.216,20.451,,2.396769386624839e-05,,,AB,468.6
osc,SN2011fe,,,,g,55629.26,20.691,,1.921437440256276e-05,,,AB,468.6
osc,SN2011fe,,,,g,55630.278,21.338,,1.0588300272430558e-05,,,AB,468.6
osc,SN2011fe,,,,g,55630.322,21.0863,,1.3350767993818601e-05,,,AB,468.6
osc,SN2011fe,,,,g,55631.187,21.036,,1.3983833646994484e-05,,,AB,468.6
osc,SN2011fe,,,,g,55632.216,20.491,,2.310075897762441e-05,,,AB,468.6
osc,SN2011fe,,,,g,55632.261,20.5,,2.291006117807576e-05,,,AB,468.6
osc,SN2011fe,,,,g,55649.259,21.65,,7.943762456560822e-06,,,AB,468.6
osc,SN2011fe,,,,g,55649.303,20.804,,1.7315149631075552e-05,,,AB,468.6
osc,SN2011fe,,,,g,55650.236,21.2502,,1.1480115273903284e-05,,,AB,468.6
osc,SN2011fe,,,,g,55650.28,21.389,,1.0102439282018368e-05,,,AB,468.6
