snid,z,alpha,mu_obs,mu_qfd,mu_lcdm,residual_qfd,residual_lcdm,residual_alpha,chi2_per_obs
1346627,0.681930,21.7719,22.7686,43.5129,43.0775,-20.7443,-20.3089,19.106240,0.53
1899442,0.431439,21.7906,21.7543,43.5916,41.8790,-21.8373,-20.1247,20.112924,0.55
1249745,0.726449,21.8614,22.8087,43.4538,43.2455,-20.6450,-20.4367,19.014760,2.06
1293788,0.817284,22.2435,22.6497,43.3026,43.5597,-20.6528,-20.9099,19.021944,0.68
1294436,0.178001,19.7360,22.0625,42.7230,39.6749,-20.6605,-17.6124,19.029010,5.18
1443078,0.610964,21.6008,22.7157,43.5836,42.7867,-20.8679,-20.0710,19.220007,1.15
1305219,0.616326,21.4585,22.8893,43.5794,42.8098,-20.6901,-19.9205,19.056270,0.94
1280182,0.241756,16.7738,25.9434,43.1223,40.4195,-17.1789,-14.4761,15.822325,0.88
1345594,0.422410,22.8834,20.5218,43.5835,41.8245,-23.0616,-21.3026,21.240563,3.90
1291631,0.270279,20.8602,21.7489,43.2462,40.6952,-21.4973,-18.9464,19.799789,0.65
1337405,0.222660,18.5122,23.8773,43.0230,40.2176,-19.1456,-16.3403,17.633777,0.74
1305486,0.898881,22.2461,22.8535,43.1364,43.8143,-20.2828,-20.9608,18.681183,0.52
1258222,0.331879,19.4461,23.7300,43.4367,41.2095,-19.7067,-17.4794,18.150525,1.05
1337447,0.286159,19.9098,22.9047,43.3044,40.8374,-20.3997,-17.9327,18.788803,1.20
1641288,0.545293,21.6717,22.3919,43.6189,42.4878,-21.2270,-20.0958,19.550761,0.80
1248243,0.323944,22.3248,20.5520,43.4171,41.1484,-22.8651,-20.5964,21.059545,5.36
1592028,0.325099,22.2315,20.6610,43.4200,41.1574,-22.7590,-20.4964,20.961841,3.23
1255682,0.947725,30.0000,14.5498,43.0248,43.9562,-28.4750,-29.4064,26.226447,1.71
1389403,0.384213,22.0345,21.2377,43.5371,41.5814,-22.2994,-20.3437,20.538540,2.18
1386047,0.491812,21.2034,22.6761,43.6219,42.2182,-20.9458,-19.5421,19.291814,0.39
