snid,n_obs,chi2_dof,stretch,residual,ln_A,t0,A_plasma,beta,neg_logL,pass_n_obs,pass_chi2,pass_stretch,is_flashlight,is_candidate
1259231,105,3.615570081419379,2.2173914001201154,41.3549531569389,1.5933117214159225,56572.96549690362,0.1,1.5,184.39407415238833,True,True,True,True,True
1283924,105,3.481862294130726,1.5755005543610234,46.252248130653285,4.045224641109975,57230.51192213174,0.1,1.5,177.57497700066702,True,True,True,True,True
1332008,96,3.6465705572447487,2.0690604433789295,46.020407126570134,3.6156244676601403,57269.04900145142,0.1,1.5,169.5655309118808,True,True,True,True,True
1252820,73,4.308293438573048,4.467694049678592,48.574538768544976,4.519368393008733,56497.212,0.1,1.5,150.7902703500567,True,True,True,True,True
1260278,80,5.038080603036281,5.304998508983246,47.014327181307515,3.7090209538868635,56517.249,0.1,1.5,193.9661032168968,True,True,True,True,True
1293959,92,4.909506072889175,5.035649698253782,49.860416727304944,5.653158703556883,56840.386,0.1,1.5,218.47302024356827,True,True,True,True,True
1375027,112,4.146218228502737,10.0,53.06126478332828,6.974370464331173,57353.55133461466,0.1,1.5,225.96889345339918,True,True,False,True,False
1430074,76,3.8783905496013102,9.18841613877973,42.93933680872693,1.707639235489971,57564.221,0.1,1.5,141.56125506044782,True,True,False,True,False
1258726,73,3.428158482772025,5.34615890167085,44.81012362586766,2.3199429139245993,56502.359,0.1,1.5,119.98554689702087,True,True,True,True,True
1931242,79,3.1200596058216727,1.1545616568257353,44.4323677797975,1.9198313775306808,57988.25632841227,0.1,1.5,118.56226502122357,True,True,True,True,True
1249905,51,13.216762732164701,5.2976774565523135,43.40441502570902,2.466717922332876,56495.15306519643,0.1,1.5,317.2023055719528,True,False,True,True,False
1942106,63,5.20821195521147,2.1301378773382993,46.03995940083177,3.7909242411780752,58081.623032670315,0.1,1.5,156.2463586563441,True,True,True,True,True
1307257,61,5.9317028369621125,1.8123170490630525,42.920811442614934,2.9145010507704043,56623.00306815574,0.1,1.5,172.01938227190126,True,True,True,True,True
1897066,71,4.085967779913163,2.07209020839655,46.69406757163577,3.5900616374757064,58011.20917055732,0.1,1.5,138.92290451704753,True,True,True,True,True
1434258,114,6.9584366105548625,1.4785972072539455,45.770609100636214,3.2290062169416984,57666.97884420803,0.1,1.5,386.1932318857949,True,True,True,True,True
1248928,105,5.988945197791146,7.628476883102501,44.57208381579316,2.1304126104099197,56470.222,0.1,1.5,305.43620508734847,True,True,True,True,True
1367265,121,4.2575539381746825,8.486311753136807,47.640750077505636,4.01960430536689,57565.41,0.1,1.5,251.19568235230628,True,True,True,True,True
1485069,77,3.5874203397229616,0.3,44.27503552872737,1.8638700921817701,57709.40999989943,0.1,1.5,132.73455256974958,True,True,True,True,True
1337304,95,3.3049977127747865,0.3,10.553515460281844,-30.0,57198.419,0.1,1.5,152.0298947876402,True,True,True,True,True
1783052,202,3.7165278149042105,1.8106684904710628,44.89703238487879,3.0708511950586157,57965.8009381983,0.1,1.5,369.7945175829689,True,True,True,True,True
1295287,67,9.126842946790507,5.261681657839718,51.0119997299832,6.028186334268895,56893.192,0.1,1.5,292.05897429729623,True,True,True,True,True
1273541,96,3.4456586041026935,4.882414788970004,47.096922420764415,3.892928222093502,57198.388,0.1,1.5,160.22312509077526,True,True,True,True,True
1246633,82,6.971270646734396,4.265368489261493,47.178886445716,3.9610405798165473,56486.207,0.1,1.5,275.36519054600865,True,True,True,True,True
1295627,102,5.088856601034195,2.7849705266975873,43.89483862005453,3.2388247221005813,56860.93918505426,0.1,1.5,251.89840175119264,True,True,True,True,True
1589059,116,3.5657102036734543,10.0,46.8149507877089,3.4063963640324033,57528.07400072199,0.1,1.5,201.46262650755017,True,True,False,True,False
1292063,91,4.437515395580578,3.5827671662685354,47.525391066741975,4.03526881976002,56868.535570606735,0.1,1.5,195.25067740554545,True,True,True,True,True
1267800,70,3.863204364744682,7.232110703278482,49.32458009425903,4.839215503017286,56552.105,0.1,1.5,129.41734621894685,True,True,True,True,True
1258071,89,6.871803128760513,0.3,8.607014316805255,-30.0,56509.205,0.1,1.5,295.48753453670207,True,True,True,True,True
1929195,60,4.167362682546709,2.9142782249693635,46.87624354038794,3.6685215950356422,58039.65078080589,0.1,1.5,118.7698364525812,True,True,True,True,True
1780155,100,3.378988637454354,10.0,43.86521631552984,1.6650262778110978,57891.11701653876,0.1,1.5,163.88094891653617,True,True,False,True,False
1303883,105,5.630325632398818,2.843128705769777,44.44937379233682,3.883649554904828,57227.2770444214,0.1,1.5,287.1466072523397,True,True,True,True,True
1621062,107,3.3449047809368264,2.5330290624750305,41.49044450265041,1.055990445803502,57681.91603103804,0.1,1.5,173.93504860871496,True,True,True,True,True
1324790,133,3.7289262542107227,2.5535255291259555,45.06406043992038,3.8109504668655063,56989.2640061369,0.1,1.5,242.38020652369698,True,True,True,True,True
1574018,82,5.2010802138570345,5.150527044361319,41.69331259422024,2.095019403696554,57628.68588528242,0.1,1.5,205.44266844735284,True,True,True,True,True
1283435,118,3.1191667070535893,2.947108470852288,44.046066030511405,2.359756741013449,57199.423,0.1,1.5,179.3520856555814,True,True,True,True,True
1780167,101,3.354568577786445,10.0,9.293923014828032,-30.0,58184.049,0.1,1.5,164.3738603115358,True,True,False,True,False
1343401,107,3.7272234906318498,2.776870465270105,45.66552589819598,4.223474401477361,57338.93334501871,0.1,1.5,193.81562151285618,True,True,True,True,True
