Z,A_drip,N_drip,tension_ratio,c2_c1,family,N_mode
1.0,7.0,6.0,0.5515462858613788,0.28832521045635795,A,2
2.0,10.0,8.0,0.657949996371812,0.3053933356234971,A,3
3.0,13.0,10.0,0.7180819434502759,0.3053933356234971,A,3
4.0,16.0,12.0,0.6390035773752613,0.2535887377342331,C,4
5.0,21.0,16.0,0.796709498211572,0.2887754237800821,C,6
6.0,23.0,17.0,0.8212388922808179,0.2887754237800821,C,6
7.0,25.0,18.0,0.8443844614928975,0.2887754237800821,C,6
8.0,28.0,20.0,0.8768922671993181,0.2887754237800821,C,6
9.0,31.0,22.0,0.9707350888556123,0.30901542865129544,C,7
10.0,34.0,24.0,1.0010900294355567,0.30901542865129544,C,7
11.0,39.0,28.0,1.2081661251519331,0.3562638736787508,C,9
12.0,41.0,29.0,1.1427132327142975,0.33139247125493276,C,8
13.0,43.0,30.0,1.1609997410212947,0.33139247125493276,C,8
14.0,45.0,31.0,1.178727662165086,0.33139247125493276,C,8
15.0,47.0,32.0,1.195937793026414,0.33139247125493276,C,8
16.0,49.0,33.0,1.2126663623217988,0.33139247125493276,C,8
17.0,52.0,35.0,1.2369260962442756,0.33139247125493276,C,8
18.0,54.0,36.0,1.2525850509323144,0.33139247125493276,C,8
19.0,59.0,40.0,1.3869339833365009,0.3562638736787508,C,9
20.0,61.0,41.0,1.4024317351774709,0.3562638736787508,C,9
21.0,63.0,42.0,1.417594334474523,0.3562638736787508,C,9
22.0,65.0,43.0,1.3324382453771921,0.33139247125493276,C,8
23.0,67.0,44.0,1.3459664621274716,0.33139247125493276,C,8
24.0,70.0,46.0,1.365762920250184,0.33139247125493276,C,8
25.0,73.0,48.0,1.488947571520215,0.3562638736787508,C,9
26.0,76.0,50.0,1.5090709183464586,0.3562638736787508,C,9
27.0,78.0,51.0,1.5221939328488445,0.3562638736787508,C,9
28.0,82.0,54.0,1.54778180324554,0.3562638736787508,C,9
29.0,84.0,55.0,1.56026445362669,0.3562638736787508,C,9
30.0,86.0,56.0,1.5725505063568526,0.3562638736787508,C,9
31.0,88.0,57.0,1.5846475241012865,0.3562638736787508,C,9
32.0,90.0,58.0,1.4851037936551643,0.33139247125493276,C,8
33.0,92.0,59.0,1.49602406666981,0.33139247125493276,C,8
34.0,95.0,61.0,1.5121115804365322,0.33139247125493276,C,8
35.0,98.0,63.0,1.6425318927578383,0.3562638736787508,C,9
36.0,101.0,65.0,1.6591242470089669,0.3562638736787508,C,9
37.0,104.0,67.0,1.6753912083252256,0.3562638736787508,C,9
38.0,107.0,69.0,1.691348275450539,0.3562638736787508,C,9
39.0,109.0,70.0,1.701821287061819,0.3562638736787508,C,9
40.0,113.0,73.0,1.7223890938060893,0.3562638736787508,C,9
41.0,116.0,75.0,1.8731154338026579,0.3840713210630722,C,10
42.0,119.0,77.0,1.8891257438563298,0.3840713210630722,C,10
43.0,122.0,79.0,1.9048691842562817,0.3840713210630722,C,10
44.0,125.0,81.0,1.9203566053153605,0.3840713210630722,C,10
45.0,128.0,83.0,1.9355981682731869,0.3840713210630722,C,10
46.0,131.0,85.0,1.9506034040715703,0.3840713210630722,C,10
47.0,133.0,86.0,1.9604800453842335,0.3840713210630722,C,10
48.0,135.0,87.0,1.970258162478589,0.3840713210630722,C,10
49.0,137.0,88.0,1.9799401762549529,0.3840713210630722,C,10
50.0,140.0,90.0,1.994288069310164,0.3840713210630722,C,10
51.0,142.0,91.0,2.0037398127339943,0.3840713210630722,C,10
52.0,145.0,93.0,2.017752434509283,0.3840713210630722,C,10
53.0,147.0,94.0,1.8802296514879797,0.3562638736787508,C,9
54.0,150.0,96.0,2.0406834025247975,0.3840713210630722,C,10
55.0,152.0,97.0,1.9013102158088904,0.3562638736787508,C,9
56.0,154.0,98.0,1.9096129858285735,0.3562638736787508,C,9
57.0,157.0,100.0,1.9219334103949413,0.3562638736787508,C,9
58.0,159.0,101.0,1.930060075386271,0.3562638736787508,C,9
59.0,161.0,102.0,1.9381188748065923,0.3562638736787508,C,9
60.0,163.0,103.0,1.8102497901343433,0.33139247125493276,C,8
61.0,165.0,104.0,1.8176235977658932,0.33139247125493276,C,8
62.0,168.0,106.0,1.828573401631839,0.33139247125493276,C,8
63.0,170.0,107.0,1.8358010396136546,0.33139247125493276,C,8
64.0,172.0,108.0,1.84297221023201,0.33139247125493276,C,8
65.0,174.0,109.0,1.725162117656694,0.30901542865129544,C,7
66.0,176.0,110.0,1.7317467697205267,0.30901542865129544,C,7
67.0,178.0,111.0,1.7382817251131113,0.30901542865129544,C,7
68.0,180.0,112.0,1.744767911045903,0.30901542865129544,C,7
69.0,182.0,113.0,1.6365050853241132,0.2887754237800821,C,6
70.0,185.0,115.0,1.7607758502808126,0.30901542865129544,C,7
