A,Z,element,N_mode,family,BE_per_A,primary_decay,Q_MeV,delta_N,abs_delta_N,daughter_A,daughter_Z,daughter_N,predicted_log_halflife,predicted_halflife_sec,predicted_halflife_years,num_decay_modes
1,1,H,-3,A,0.0,stable,0.0,0,0,1,1,-3,inf,inf,inf,0
2,1,H,-2,A,1.1122831000000002,stable,0.0,0,0,2,1,-2,inf,inf,inf,0
3,1,H,-1,A,2.8272654000000004,beta-,0.01859201999999982,-1,1,3,2,-2,9.827945184678033,6728917205.881712,213.22651931331,1
3,2,He,-2,A,2.57268044,stable,0.0,0,0,3,2,-2,inf,inf,inf,0
3,3,Li,-3,A,-2.267,beta+,12.713781120000002,1,1,3,2,-2,-14.14361022300604,7.184387970174972e-15,2.2765951688895774e-22,1
4,1,H,0,A,1.7204491,beta-,22.19621313,-1,1,4,2,-1,7.885083149864749,76750842.21810006,2.432087428007835,1
4,2,He,-1,A,7.0739156,stable,0.0,0,0,4,2,-1,inf,inf,inf,0
4,3,Li,-2,A,1.1537602999999998,beta+,21.876274130000002,1,1,4,2,-1,-19.59412421039872,2.5461019505208235e-20,8.068110219157425e-28,1
5,1,H,1,A,1.3363592000000002,beta-,21.661212999999996,-1,1,5,2,0,7.891773791892308,77942403.131254,2.469845714859622,1
5,2,He,0,A,5.5121325,stable,0.0,0,0,5,2,0,inf,inf,inf,0
5,3,Li,-2,A,5.266132499999999,alpha,1.965337500000004,-1,1,1,1,-3,26.257158543136253,1.8078339717364812e+26,5.728680164957034e+18,1
5,4,Be,-3,A,0.018,beta+,24.438113000000005,1,1,5,3,-2,-20.70630175221202,1.9665194572477204e-21,6.231524124926231e-29,1
6,1,H,1,A,0.9616395,beta-,24.283630000000002,-1,1,6,2,0,7.860435683980426,72516307.84848368,2.297903131051908,1
6,2,He,0,A,4.878519900000001,beta-,3.505214559999999,-1,1,6,3,-1,8.391210203719343,246155873.9709698,7.800208950331134,1
6,3,Li,-1,A,5.3323312,stable,0.0,0,0,6,3,-1,inf,inf,inf,0
6,4,Be,-2,A,4.4872478000000005,beta+,3.2661535599999976,1,1,6,3,-1,-0.4943953921120361,0.3203351588406277,1.0150808643262722e-08,1
6,5,B,-3,A,-0.467,beta+,27.922966000000002,1,1,6,4,-2,-22.045093587316792,9.013768764843764e-23,2.8562909615572047e-30,1
7,1,H,2,A,0.94,beta-,23.061871999999997,-1,1,7,2,1,7.874591613682646,74918938.2069277,2.3740378928349335,1
7,2,He,1,A,4.1230578,beta-,11.166023370000001,-1,1,7,3,0,8.073487714924383,118437086.37130585,3.753044793371671,1
7,3,Li,0,A,5.6064401,stable,0.0,0,0,7,3,0,inf,inf,inf,0
7,4,Be,-1,A,5.3715487,stable,0.0,0,0,7,4,-1,inf,inf,inf,0
7,5,B,-2,A,3.5587055,beta+,10.885554999999998,1,1,7,4,-1,-12.584431455271044,2.6035657199107247e-13,8.250201916212655e-21,1
8,2,He,1,A,3.924521,beta-,10.663878,-1,1,8,3,0,8.086105694172694,121928630.03146346,3.8636851354812616,1
8,3,Li,0,A,5.1597124,beta-,16.004133,-1,1,8,4,-1,7.974774890210107,94357166.38129488,2.9899981741734125,1
8,4,Be,-1,A,7.0624356,stable,0.0,0,0,8,4,-1,inf,inf,inf,0
8,5,B,-2,A,4.7171551,beta+,16.957897000000003,1,1,8,4,-1,-17.03647553346714,9.19442271296533e-18,2.913536743277477e-25,1
