Z,N,A,element,is_estimated,mass_excess_keV,mass_excess_unc_keV,mass_excess_MeV,mass_excess_unc_MeV,E_exp_MeV,E_exp_unc_MeV,BE_per_A_MeV
0,1,1,n,False,8071.31806,0.00044,8.07131806,4.4e-07,939.56542048,4.4e-07,0.0
1,0,1,H,False,7288.971064,1.3e-05,7.288971064,1.2999999999999999e-08,938.7830734839999,1.2999999999999999e-08,0.0
1,1,2,H,False,13135.722895,1.5e-05,13.135722895,1.5000000000000002e-08,1876.123927735,1.5000000000000002e-08,1.1122831000000002
1,2,3,H,False,14949.8109,8e-05,14.949810900000001,8e-08,2809.4321181600003,8e-08,2.8272654000000004
2,1,3,He,False,14931.21888,6e-05,14.931218880000001,6.000000000000001e-08,2809.41352614,6.000000000000001e-08,2.57268044
3,0,3,Li,True,28667.0,2000.0,28.667,2.0,2823.14930726,2.0,-2.267
1,3,4,H,False,24621.129,100.0,24.621129,0.1,3750.59753868,0.1,1.7204491
2,2,4,He,False,2424.91587,0.00015,2.42491587,1.5e-07,3728.40132555,1.5e-07,7.0739156
3,1,4,Li,False,25323.19,212.132,25.32319,0.21213200000000001,3751.29959968,0.21213200000000001,1.1537602999999998
1,4,5,H,False,32892.447,89.443,32.892447,0.089443,4690.3629591,0.089443,1.3363592000000002
2,3,5,He,False,11231.234,20.0,11.231234,0.02,4668.7017461,0.02,5.5121325
3,2,5,Li,False,11678.887,50.0,11.678887000000001,0.05,4669.1493991,0.05,5.266132499999999
4,1,5,Be,True,37139.0,2003.0,37.139,2.003,4694.6095121,2.003,0.018
1,5,6,H,False,41875.725,254.127,41.875724999999996,0.254127,5630.84033952,0.254127,0.9616395
2,4,6,He,False,17592.095,0.053,17.592095,5.3e-05,5606.55670952,5.3e-05,4.878519900000001
3,3,6,Li,False,14086.88044,0.00144,14.086880440000002,1.4400000000000002e-06,5603.05149496,1.4400000000000002e-06,5.3323312
4,2,6,Be,False,18375.034,5.448,18.375034,0.005448000000000001,5607.33964852,0.005448000000000001,4.4872478000000005
5,1,6,B,True,47320.0,2003.0,47.32,2.003,5636.28461452,2.003,-0.467
1,6,7,H,True,49135.0,1004.0,49.135,1.004,6569.59371694,1.004,0.94
2,5,7,He,False,26073.128,7.559,26.073128,0.007559,6546.53184494,0.007559,4.1230578
3,4,7,Li,False,14907.10463,0.00419,14.90710463,4.1900000000000005e-06,6535.36582157,4.1900000000000005e-06,5.6064400999999995
4,3,7,Be,False,15768.998,0.071,15.768998,7.099999999999999e-05,6536.22771494,7.099999999999999e-05,5.3715487
5,2,7,B,False,27676.553,25.15,27.676553,0.02515,6548.13526994,0.02515,3.5587055
2,6,8,He,False,31609.683,0.089,31.609683,8.9e-05,7483.56250236,8.9e-05,3.9245210000000004
3,5,8,Li,False,20945.805,0.047,20.945805,4.7e-05,7472.89862436,4.7e-05,5.1597124
4,4,8,Be,False,4941.672,0.035,4.941672,3.5000000000000004e-05,7456.89449136,3.5000000000000004e-05,7.0624356
5,3,8,B,False,22921.569,1.0,22.921568999999998,0.001,7474.87438836,0.001,4.7171551
6,2,8,C,False,35064.269,18.243,35.064269,0.018243,7487.01708836,0.018243,3.1015241999999996
2,7,9,He,False,40935.826,46.816,40.935826,0.046816,8424.38274778,0.046816,3.349038
3,6,9,Li,False,24954.905,0.186,24.954905,0.000186,8408.40182678,0.000186,5.0377685
4,5,9,Be,False,11348.451,0.076,11.348450999999999,7.6e-05,8394.79537278,7.6e-05,6.4626693
5,4,9,B,False,12416.486,0.903,12.416486,0.000903,8395.86340778,0.000903,6.2570713
6,3,9,C,False,28910.971,2.137,28.910971,0.002137,8412.357892779999,0.002137,4.3374233
2,8,10,He,False,49197.147,92.848,49.197146999999994,0.092848,9364.1381712,0.092848,2.995134
3,7,10,Li,False,33052.628,12.721,33.052628,0.012721,9347.993652199999,0.012721,4.5313512000000005
4,6,10,Be,False,12607.487,0.081,12.607486999999999,8.1e-05,9327.548511199999,8.1e-05,6.497630600000001
5,5,10,B,False,12050.611,0.015,12.050611,1.4999999999999999e-05,9326.9916352,1.4999999999999999e-05,6.475083499999999
6,4,10,C,False,15698.673,0.07,15.698673000000001,7.000000000000001e-05,9330.6396972,7.000000000000001e-05,6.0320426
7,3,10,N,False,38800.027,400.0,38.800027,0.4,9353.741051199999,0.4,3.6436724
3,8,11,Li,False,40728.259,0.615,40.728259,0.000615,10287.163385619999,0.000615,4.1553816999999995
4,7,11,Be,False,20177.169,0.238,20.177169000000003,0.00023799999999999998,10266.61229562,0.00023799999999999998,5.9525402000000005
5,6,11,B,False,8667.708,0.012,8.667708000000001,1.2e-05,10255.10283462,1.2e-05,6.9277323
6,5,11,C,False,10649.397,0.06,10.649397,5.9999999999999995e-05,10257.084523619998,5.9999999999999995e-05,6.6764563
7,4,11,N,False,24365.644,5.0,24.365644,0.005,10270.800770619999,0.005,5.3584023
8,3,11,O,False,47738.913,60.038,47.738913000000004,0.060037999999999994,10294.174039619998,0.060037999999999994,3.1624372
3,9,12,Li,False,49009.577,30.006,49.009577,0.030006,11226.938806040002,0.030006,3.7915999
4,8,12,Be,False,25077.761,1.909,25.077761,0.001909,11203.006990040001,0.001909,5.7207223
5,7,12,B,False,13369.398,1.321,13.369397999999999,0.001321,11191.298627040002,0.001321,6.6312237
6,6,12,C,False,0.0,0.0,0.0,0.0,11177.92922904,0.0,7.680144599999999
7,5,12,N,False,17338.068,1.0,17.338068,0.001,11195.26729704,0.001,6.170109999999999
8,4,12,O,False,32013.335,12.0,32.013335,0.012,11209.94256404,0.012,4.881975499999999
3,10,13,Li,False,56980.895,70.003,56.980895,0.070003,12166.404226460001,0.070003,3.5076307
4,9,13,Be,False,33659.08,10.18,33.65908,0.01018,12143.08241146,0.01018,5.241435900000001
5,8,13,B,False,16561.948,1.0,16.561948,0.001,12125.985279460001,0.001,6.4964194
6,7,13,C,False,3125.00933,0.00023,3.1250093299999997,2.3e-07,12112.548340790001,2.3e-07,7.4698495000000005
7,6,13,N,False,5345.481,0.27,5.3454809999999995,0.00027,12114.76881246,0.00027,7.2388634000000005
