name,Z,A
H-1,1,1
H-2,1,2
H-3,1,3
He-3,2,3
He-4,2,4
Li-6,3,6
Li-7,3,7
Be-9,4,9
B-10,5,10
B-11,5,11
C-12,6,12
C-13,6,13
C-14,6,14
N-14,7,14
N-15,7,15
O-16,8,16
O-17,8,17
O-18,8,18
F-19,9,19
Ne-20,10,20
Ne-21,10,21
Ne-22,10,22
Na-23,11,23
Mg-24,12,24
Mg-25,12,25
Mg-26,12,26
Al-27,13,27
Si-28,14,28
Si-29,14,29
Si-30,14,30
P-31,15,31
S-32,16,32
S-33,16,33
S-34,16,34
S-36,16,36
Cl-35,17,35
Cl-37,17,37
Ar-36,18,36
Ar-38,18,38
Ar-40,18,40
K-39,19,39
K-40,19,40
K-41,19,41
Ca-40,20,40
Ca-42,20,42
Ca-43,20,43
Ca-44,20,44
Ca-48,20,48
Sc-45,21,45
Ti-46,22,46
Ti-47,22,47
Ti-48,22,48
Ti-49,22,49
Ti-50,22,50
V-50,23,50
V-51,23,51
Cr-50,24,50
Cr-52,24,52
Cr-53,24,53
Cr-54,24,54
Mn-55,25,55
Fe-54,26,54
Fe-56,26,56
Fe-57,26,57
Fe-58,26,58
Co-59,27,59
Ni-58,28,58
Ni-60,28,60
Ni-61,28,61
Ni-62,28,62
Ni-64,28,64
Cu-63,29,63
Cu-65,29,65
Zn-64,30,64
Zn-66,30,66
Zn-67,30,67
Zn-68,30,68
Zn-70,30,70
Ga-69,31,69
Ga-71,31,71
Ge-70,32,70
Ge-72,32,72
Ge-73,32,73
Ge-74,32,74
Ge-76,32,76
As-75,33,75
Se-74,34,74
Se-76,34,76
Se-77,34,77
Se-78,34,78
Se-80,34,80
Se-82,34,82
Br-79,35,79
Br-81,35,81
Kr-78,36,78
Kr-80,36,80
Kr-82,36,82
Kr-83,36,83
Kr-84,36,84
Kr-86,36,86
Rb-85,37,85
Rb-87,37,87
Sr-84,38,84
Sr-86,38,86
Sr-87,38,87
Sr-88,38,88
Y-89,39,89
Zr-90,40,90
Zr-91,40,91
Zr-92,40,92
Zr-94,40,94
Zr-96,40,96
Mo-92,42,92
Mo-94,42,94
Mo-95,42,95
Mo-96,42,96
Mo-97,42,97
Mo-98,42,98
Mo-100,42,100
Ag-107,47,107
Ag-109,47,109
Cd-106,48,106
Cd-108,48,108
Cd-110,48,110
Cd-111,48,111
Cd-112,48,112
Cd-113,48,113
Cd-114,48,114
Cd-116,48,116
Sn-112,50,112
Sn-114,50,114
Sn-115,50,115
Sn-116,50,116
Sn-117,50,117
Sn-118,50,118
Sn-119,50,119
Sn-120,50,120
Sn-122,50,122
Sn-124,50,124
Xe-124,54,124
Xe-126,54,126
Xe-128,54,128
Xe-129,54,129
Xe-130,54,130
Xe-131,54,131
Xe-132,54,132
Xe-134,54,134
Xe-136,54,136
Ba-130,56,130
Ba-132,56,132
Ba-134,56,134
Ba-135,56,135
Ba-136,56,136
Ba-137,56,137
Ba-138,56,138
Pb-204,82,204
Pb-206,82,206
Pb-207,82,207
Pb-208,82,208
Bi-209,83,209
Th-232,90,232
U-235,92,235
U-238,92,238
