A,Z,N,element,species,clean_species,is_platypus,az_order,parity,epsilon,log_hl,exc_keV,transition_energy_keV,correct_deltaJ,correct_lambda,Q_keV,V_coulomb_keV,tracking_bin
1,1,0,H,stable,stable,False,0,eo,2.227046055224762,,,0.0,,,,,stable
2,1,1,H,stable,stable,False,0,oo,1.4222448593428465,,,0.0,,,,,stable
3,1,2,H,beta-,beta-,False,0,eo,0.7076046061021812,8.589705757070906,,0.0,,,18.592020000000048,,tracked
3,2,1,He,stable,stable,False,0,eo,1.7076046061021812,,,0.0,,,,,stable
4,1,3,H,neutron,neutron,False,0,oo,0.043342402953594,-21.856985199745903,,0.0,,,,,ephemeral
4,2,2,He,stable,stable,False,0,ee,1.043342402953594,,,0.0,,,,,stable
4,3,1,Li,proton,proton,False,0,oo,2.043342402953594,-22.040958607678903,,0.0,,,,,ephemeral
5,1,4,H,neutron,neutron,False,0,eo,-0.5870492085609413,-22.06550154875644,,0.0,,,,,ephemeral
5,2,3,He,neutron,neutron,False,0,eo,0.4129507914390586,-21.220403508742177,,0.0,,,,,ephemeral
5,3,2,Li,proton,proton,False,0,eo,1.4129507914390589,-21.431798275933005,,0.0,,,,,ephemeral
6,1,5,H,neutron,neutron,False,0,oo,-1.19243847824049,-21.53165266958784,,0.0,,,,,ephemeral
6,2,4,He,beta-,beta-,False,0,ee,-0.1924384782404899,-0.0931695201487791,,0.0,,,3505.2145600000003,,tracked
6,3,3,Li,stable,stable,False,0,oo,0.80756152175951,,,0.0,,,,,stable
6,3,3,Li,IT,IT,False,1,oo,0.80756152175951,-16.2518119729938,3562.88,3562.88,1.0,1.0,3562.88,,ephemeral
6,4,2,Be,proton,proton,False,0,ee,1.80756152175951,-20.30102999566398,,0.0,,,,,ephemeral
7,1,6,H,neutron,neutron,False,0,eo,-1.7782845429139469,-21.18575240426808,,0.0,,,,,ephemeral
7,2,5,He,neutron,neutron,False,0,eo,-0.7782845429139469,-20.600326278518963,,0.0,,,,,ephemeral
7,3,4,Li,stable,stable,False,0,eo,0.2217154570860531,,,0.0,,,,,stable
7,4,3,Be,beta+,beta+,False,0,eo,1.2217154570860531,6.662588612694264,,0.0,,,-160.10463000000027,,tracked
7,5,2,B,proton,proton,False,0,eo,2.221715457086053,-21.24412514432751,,0.0,,,,,ephemeral
8,2,6,He,beta-,beta-,False,0,ee,-1.3482491897223037,-0.9226320947158436,,0.0,,,10663.878,,tracked
8,3,5,Li,beta-,beta-,False,0,oo,-0.3482491897223037,-0.0763933569825408,,0.0,,,16004.133000000002,,tracked
8,4,4,Be,alpha,alpha,False,0,ee,0.6517508102776963,-16.08671609823958,,0.0,,,91.8401299999996,1511.905259873848,ephemeral
8,5,3,B,beta+,beta+,False,0,oo,1.6517508102776963,-0.1124389590699909,,0.0,,,16957.899,,tracked
8,6,2,C,proton,proton,False,0,ee,2.6517508102776963,-20.455931955649724,,0.0,,,,,ephemeral
9,2,7,He,neutron,neutron,False,0,eo,-1.904939244323983,-20.602059991327963,,0.0,,,,,ephemeral
