A,Z,az_order,exc_keV,spin_parity,isomer_char
1,1,0,,1/2+*, 
2,1,0,,1+*, 
3,1,0,,1/2+*, 
3,2,0,,1/2+*, 
4,1,0,,2-, 
4,2,0,,0+, 
4,3,0,,2-, 
5,1,0,,(1/2+), 
5,2,0,,3/2-, 
5,3,0,,3/2-, 
6,1,0,,2-#, 
6,2,0,,0+, 
6,3,0,,1+*, 
6,3,1,3562.88,0+      T=1,i
6,4,0,,0+, 
7,1,0,,1/2+#, 
7,2,0,,(3/2)-, 
7,3,0,,3/2-*, 
7,4,0,,3/2-, 
7,5,0,,(3/2-), 
8,2,0,,0+, 
8,3,0,,2+, 
8,4,0,,0+, 
8,5,0,,2+, 
8,6,0,,0+, 
9,2,0,,1/2(+), 
9,3,0,,3/2-, 
9,4,0,,3/2-*, 
9,4,1,14390.3,3/2-    T=3/2,i
9,5,0,,3/2-, 
9,6,0,,3/2-, 
10,2,0,,0+, 
10,3,0,,"(1-,2-)", 
10,3,1,200.0,1+,m
10,3,2,480.0,(2+),n
10,4,0,,0+, 
10,5,0,,3+*, 
10,6,0,,0+, 
10,7,0,,"1-,2-", 
11,3,0,,3/2-*, 
11,4,0,,1/2+*, 
11,4,1,21158.0,3/2-    T=5/2,i
11,5,0,,3/2-*, 
11,6,0,,3/2-*, 
11,7,0,,1/2+, 
11,7,1,740.0,1/2-,m
11,8,0,,(3/2-), 
12,4,0,,0+, 
12,4,1,2251.0,0+,m
12,5,0,,1+*, 
12,6,0,,0+, 
12,7,0,,1+*, 
12,8,0,,0+, 
13,3,0,,3/2-#, 
13,4,0,,(1/2-), 
13,5,0,,3/2-, 
13,6,0,,1/2-*, 
13,7,0,,1/2-*, 
13,8,0,,(3/2-), 
14,4,0,,0+, 
14,5,0,,2-, 
14,5,1,17065.0,0+      T=3,i
14,6,0,,0+, 
14,7,0,,1+*, 
14,8,0,,0+, 
14,9,0,,2-, 
15,4,0,,(5/2+), 
15,5,0,,3/2-, 
15,6,0,,1/2+, 
15,7,0,,1/2-*, 
15,8,0,,1/2-*, 
15,9,0,,1/2+, 
15,10,0,,(3/2-), 
16,4,0,,0+, 
16,6,0,,0+, 
16,7,0,,2-, 
16,7,1,120.42,0-      T=1,m
16,8,0,,0+, 
16,9,0,,0-, 
17,5,0,,(3/2-), 
17,6,0,,3/2+, 
17,7,0,,1/2-, 
17,8,0,,5/2+*, 
17,9,0,,5/2+, 
17,10,0,,1/2-*, 
18,6,0,,0+, 
18,7,0,,1-, 
18,8,0,,0+, 
18,9,0,,1+, 
18,9,1,1121.36,5+,m
18,10,0,,0+, 
18,11,0,,1-#, 
19,5,0,,(3/2-), 
19,6,0,,1/2+, 
19,7,0,,1/2-, 
19,8,0,,5/2+, 
19,9,0,,1/2+*, 
19,10,0,,1/2+*, 
19,12,0,,1/2-#, 
20,6,0,,0+, 
20,7,0,,(2-), 
20,8,0,,0+, 
20,9,0,,2+, 
20,10,0,,0+, 
20,11,0,,2+*, 
20,12,0,,0+, 
21,7,0,,(1/2-), 
21,8,0,,(5/2+), 
21,9,0,,5/2+, 
21,10,0,,3/2+*, 
21,11,0,,3/2+*, 
21,12,0,,5/2+*, 
22,6,0,,0+, 
22,7,0,,0-#, 
22,8,0,,0+, 
22,9,0,,(4+), 
22,10,0,,0+, 
22,11,0,,3+*, 
22,11,1,583.05,1+,m
22,11,2,657.0,0+      T=1,i
22,12,0,,0+, 
22,13,0,,(4)+, 
22,14,0,,0+, 
23,7,0,,1/2-#, 
23,8,0,,1/2+, 
23,9,0,,5/2+, 
23,10,0,,5/2+*, 
23,11,0,,3/2+*, 
23,11,1,7891.2,5/2+    T=3/2,i
23,12,0,,3/2+*, 
23,13,0,,5/2+, 
23,14,0,,3/2+#, 
24,8,0,,0+, 
24,9,0,,3+, 
24,10,0,,0+, 
24,11,0,,4+*, 
24,11,1,472.2074,1+,m
24,12,0,,0+, 
24,13,0,,4+, 
24,13,1,425.8,1+,m
24,14,0,,0+, 
25,8,0,,3/2+#, 
25,9,0,,(5/2+), 
25,10,0,,1/2+*, 
25,11,0,,5/2+*, 
25,12,0,,5/2+*, 
25,13,0,,5/2+, 
25,14,0,,5/2+, 
26,8,0,,0+, 
26,9,0,,1+, 
26,9,1,643.4,(4+),m
26,10,0,,0+, 
26,11,0,,3+*, 
26,11,1,82.4,1+,m
26,12,0,,0+, 
26,13,0,,5+, 
26,13,1,228.306,0+      T=1,m
26,14,0,,0+, 
26,15,0,,(3)+, 
26,15,1,164.4,(1+),m
27,9,0,,5/2+#, 
27,10,0,,(3/2+), 
27,11,0,,5/2+*, 
27,12,0,,1/2+*, 
27,13,0,,5/2+*, 
27,14,0,,5/2+, 
27,15,0,,1/2+, 
27,16,0,,(5/2+), 
28,9,0,,(4-), 
28,10,0,,0+, 
28,11,0,,1+*, 
28,12,0,,0+, 
28,13,0,,3+*, 
28,14,0,,0+, 
28,14,1,12541.04,(3+),r
28,15,0,,3+, 
28,16,0,,0+, 
29,9,0,,(5/2+), 
29,10,0,,(3/2-), 
29,11,0,,3/2+*, 
29,12,0,,3/2+*, 
29,13,0,,5/2+*, 
29,14,0,,1/2+*, 
29,15,0,,1/2+, 
29,16,0,,5/2+#, 
29,17,0,,(1/2+), 
30,10,0,,0+, 
30,11,0,,2+*, 
30,12,0,,0+, 
30,13,0,,3+*, 
30,14,0,,0+, 
30,15,0,,1+*     T=0, 
30,16,0,,0+, 
31,10,0,,(3/2-), 
31,11,0,,3/2+*, 
31,12,0,,1/2+*, 
31,13,0,,5/2+*, 
31,14,0,,3/2+, 
31,15,0,,1/2+*, 
31,16,0,,1/2+, 
31,17,0,,3/2+, 
31,18,0,,5/2+*, 
32,10,0,,0+, 
32,11,0,,(3-), 
32,12,0,,0+, 
32,13,0,,1+*, 
32,13,1,956.6,(4+),m
32,14,0,,0+, 
32,15,0,,1+*, 
32,16,0,,0+, 
32,17,0,,1+, 
32,18,0,,0+, 
33,11,0,,(3/2+), 
33,12,0,,3/2-*, 
33,13,0,,5/2+*, 
33,14,0,,3/2+*, 
33,15,0,,1/2+, 
33,16,0,,3/2+, 
33,17,0,,3/2+, 
33,18,0,,1/2+, 
34,11,0,,1+, 
34,12,0,,0+, 
34,13,0,,4-, 
34,13,1,46.47,1+*,m
34,14,0,,0+, 
34,15,0,,1+, 
34,16,0,,0+, 
34,17,0,,0+      T=1, 
34,17,1,146.36,3+      T=0,m
34,18,0,,0+, 
35,11,0,,3/2+#, 
35,12,0,,"(3/2-,5/2-)", 
35,13,0,,"(5/2+,3/2+)", 
35,14,0,,7/2-#, 
35,15,0,,1/2+, 
35,16,0,,3/2+*, 
35,17,0,,3/2+*, 
35,18,0,,3/2+, 
35,19,0,,3/2+, 
35,20,0,,1/2+#, 
36,12,0,,0+, 
36,13,0,,, 
36,14,0,,0+, 
36,15,0,,4-, 
36,16,0,,0+, 
36,17,0,,2+*, 
36,18,0,,0+, 
36,19,0,,2+*, 
36,20,0,,0+, 
37,12,0,,(3/2-), 
37,13,0,,5/2+#, 
37,14,0,,(5/2-), 
37,15,0,,(1/2+), 
37,16,0,,7/2-, 
37,17,0,,3/2+*, 
37,18,0,,3/2+*, 
37,19,0,,3/2+*, 
37,20,0,,3/2+*, 
38,13,0,,0-#, 
38,14,0,,0+, 
38,15,0,,(2-), 
38,16,0,,0+, 
38,17,0,,2-, 
38,17,1,671.365,5-,m
38,18,0,,0+, 
38,19,0,,3+*     T=0, 
38,19,1,130.15,0+*     T=1,m
38,19,2,3458.1,(7)+,n
38,20,0,,0+, 
39,13,0,,5/2+#, 
39,14,0,,(5/2-), 
39,15,0,,(1/2+), 
39,16,0,,(7/2)-, 
39,17,0,,3/2+, 
39,18,0,,7/2-*, 
39,19,0,,3/2+*, 
39,20,0,,3/2+*, 
39,22,0,,3/2+#, 
40,14,0,,0+, 
40,15,0,,"(2-,3-)", 
40,16,0,,0+, 
40,17,0,,2-, 
40,18,0,,0+, 
40,19,0,,4-*, 
40,19,1,1643.638,0+,m
40,20,0,,0+, 
40,21,0,,4-, 
40,22,0,,0+, 
41,14,0,,7/2-#, 
41,15,0,,1/2+#, 
41,16,0,,7/2-#, 
41,17,0,,(1/2+), 
41,18,0,,7/2-, 
41,19,0,,3/2+*, 
41,20,0,,7/2-*, 
41,21,0,,7/2-, 
41,22,0,,3/2+, 
42,14,0,,0+, 
42,15,0,,, 
42,16,0,,0+, 
42,17,0,,(2-), 
42,18,0,,0+, 
42,19,0,,2-*, 
42,20,0,,0+, 
42,21,0,,0+      T=1, 
42,21,1,616.81,7+,m
42,22,0,,0+, 
42,24,0,,0+, 
43,15,0,,(1/2+), 
43,16,0,,3/2-, 
43,16,1,320.7,(7/2-),m
43,17,0,,(3/2+), 
43,18,0,,5/2(-), 
43,19,0,,3/2+*, 
43,19,1,738.3,7/2-,m
43,20,0,,7/2-*, 
43,21,0,,7/2-*, 
43,21,1,151.79,3/2+,m
43,21,2,3123.73,19/2-,n
43,22,0,,7/2-, 
43,22,1,313.0,(3/2+),m
43,22,2,3066.4,(19/2-),n
43,23,0,,7/2-#, 
43,24,0,,(3/2+), 
44,15,0,,, 
44,16,0,,0+, 
44,16,1,1365.0,0+,m
44,17,0,,(2-), 
44,18,0,,0+, 
44,19,0,,2-*, 
44,20,0,,0+, 
44,21,0,,2+*, 
44,21,1,67.8679,1-,m
44,21,2,146.1914,0-,n
44,21,3,271.24,6+*,p
44,22,0,,0+, 
44,23,0,,(2)+, 
44,23,1,271.0,(6)+,m
44,24,0,,0+, 
45,16,0,,3/2-#, 
45,17,0,,(3/2+), 
45,18,0,,"(5/2-,7/2-)", 
45,19,0,,3/2+*, 
45,20,0,,7/2-*, 
45,21,0,,7/2-*, 
45,21,1,12.4,3/2+,m
45,22,0,,7/2-*, 
45,22,1,36.53,3/2-,m
