isotope,mode,A_p,Z_p,N_p,fam_p,A_d,Z_d,N_d,fam_d,delta_N,abs_delta_N,Q_MeV,halflife_sec,log_halflife
U-238,alpha,238,92,2,A,234,90,4,C,2,2,4.27,1.41e+17,17.14921911265538
U-235,alpha,235,92,0,A,231,90,1,A,1,1,4.679,2.22e+16,16.34635297445064
U-234,alpha,234,92,0,A,230,90,1,A,1,1,4.859,7740000000000.0,12.888740960682894
Th-232,alpha,232,90,2,A,228,88,3,A,1,1,4.081,4.43e+17,17.64640372622307
Th-230,alpha,230,90,1,A,226,88,2,A,1,1,4.77,2380000000000.0,12.376576957056512
Th-228,alpha,228,90,-1,A,224,88,1,A,2,2,5.52,60300000.0,7.780317312140151
Ra-226,alpha,226,88,2,A,222,86,3,A,1,1,4.871,50500000000.0,10.703291378118662
Ra-224,alpha,224,88,1,A,220,86,2,A,1,1,5.789,316000.0,5.4996870826184034
Rn-222,alpha,222,86,3,A,218,84,5,C,2,2,5.59,330000.0,5.518513939877888
Rn-220,alpha,220,86,2,A,216,84,3,A,1,1,6.405,55.6,1.7450747915820575
Po-210,alpha,210,84,-1,A,206,82,0,A,1,1,5.407,12000000.0,7.079181246047625
Po-218,alpha,218,84,5,C,214,82,5,C,0,0,6.115,186.0,2.2695129442179165
Po-216,alpha,216,84,3,A,212,82,4,C,1,1,6.906,0.145,-0.8386319977650252
Po-214,alpha,214,84,1,A,210,82,2,A,1,1,7.833,0.000164,-3.785156151952302
Po-212,alpha,212,84,0,A,208,82,1,A,1,1,8.954,3e-07,-6.522878745280337
Am-241,alpha,241,95,-2,A,237,93,0,A,2,2,5.638,13600000000.0,10.133538908370218
Am-243,alpha,243,95,0,A,239,93,1,A,1,1,5.439,232000000000.0,11.3654879848909
Pu-239,alpha,239,94,-1,A,235,92,0,A,1,1,5.245,760000000000.0,11.880813592280791
Pu-240,alpha,240,94,0,A,236,92,1,A,1,1,5.256,207000000000.0,11.315970345456918
Pu-238,alpha,238,94,-2,A,234,92,0,A,2,2,5.593,2770000000.0,9.442479769064448
Cm-244,alpha,244,96,-2,A,240,94,0,A,2,2,5.902,571000000.0,8.756636108245848
Sm-147,alpha,147,62,-2,A,143,60,-1,A,1,1,2.31,3.34e+18,18.523746466811566
Nd-144,alpha,144,60,-1,A,140,58,0,A,1,1,1.905,7.22e+22,22.85853719756964
Gd-152,alpha,152,64,-2,A,148,62,-1,A,1,1,2.203,3.4e+21,21.531478917042254
H-3,beta-,3,1,-1,A,3,2,-2,A,-1,1,0.0186,388000000.0,8.588831725594208
C-14,beta-,14,6,1,A,14,7,0,A,-1,1,0.156,181000000000.0,11.257678574869185
Na-24,beta-,24,11,1,A,24,12,-1,A,-2,2,5.516,53800.0,4.730782275666389
P-32,beta-,32,15,0,A,32,16,-1,A,-1,1,1.711,1230000.0,6.089905111439398
S-35,beta-,35,16,1,A,35,17,-1,A,-2,2,0.167,7560000.0,6.878521795501206
K-40,beta-,40,19,0,A,40,20,-1,A,-1,1,1.311,3.93e+16,16.594392550375428
Ca-45,beta-,45,20,1,A,45,21,0,A,-1,1,0.257,14100000.0,7.14921911265538
Fe-55,beta-,55,26,-1,A,55,27,-2,A,-1,1,0.231,86800000.0,7.938519725176492
Co-60,beta-,60,27,0,A,60,28,-1,A,-1,1,2.824,166000000.0,8.220108088040055
Ni-63,beta-,63,28,0,A,63,29,-1,A,-1,1,0.067,3160000000.0,9.499687082618404
Sr-90,beta-,90,38,1,A,90,39,0,A,-1,1,0.546,908000000.0,8.958085848521085
Tc-99,beta-,99,43,0,A,99,44,-2,A,-2,2,0.294,6630000000000.0,12.821513528404774
I-131,beta-,131,53,2,A,131,54,1,A,-1,1,0.971,693000.0,5.840733234611807
Cs-137,beta-,137,55,3,A,137,56,1,A,-2,2,1.174,951000000.0,8.978180516937414
Pm-147,beta-,147,61,0,A,147,62,-2,A,-2,2,0.224,82700000.0,7.917505509552547
C-11,beta+,11,6,-1,A,11,5,0,A,1,1,1.982,1220.0,3.0863598306747484
N-13,beta+,13,7,-1,A,13,6,0,A,1,1,2.22,598.0,2.776701183988411
O-15,beta+,15,8,-1,A,15,7,0,A,1,1,2.754,122.0,2.0863598306747484
F-18,beta+,18,9,0,A,18,8,1,A,1,1,1.656,6590.0,3.81888541459401
Na-22,beta+,22,11,0,A,22,10,1,A,1,1,1.82,82100000.0,7.914343157119441
Mg-23,beta+,23,12,-1,A,23,11,0,A,1,1,3.095,11.3,1.0530784434834197
Al-26,beta+,26,13,-1,A,26,12,0,A,1,1,1.17,22600000000000.0,13.354108439147401
Si-31,beta+,31,14,1,A,31,13,2,A,1,1,1.492,9460.0,3.975891136401793
