Parent_Z,Parent_A,Parent_N,Daughter_A,Daughter_Z,Daughter_N,Delta_N,Conserved
2,3,-2,2,1,-2,0,True
3,3,-3,2,2,-3,0,True
4,5,-3,4,3,-2,-1,True
5,6,-3,5,4,-3,0,True
6,8,-3,7,5,-2,-1,True
7,10,-3,9,6,-2,-1,True
8,11,-3,10,7,-3,0,True
9,13,-3,12,8,-3,0,True
10,15,-3,14,9,-3,0,True
11,17,-3,16,10,-2,-1,True
12,19,-3,18,11,-2,-1,True
13,21,-3,20,12,-3,0,True
14,22,2,21,13,-3,5,False
15,24,2,23,14,-3,5,False
16,26,2,25,15,-3,5,False
17,28,2,27,16,-3,5,False
18,29,1,28,17,2,-1,True
19,31,1,30,18,2,-1,True
20,33,1,32,19,2,-1,True
21,35,1,34,20,2,-1,True
22,37,1,36,21,2,-1,True
23,39,1,38,22,2,-1,True
24,41,1,40,23,2,-1,True
25,43,1,42,24,2,-1,True
26,45,1,44,25,1,0,True
27,47,1,46,26,1,0,True
28,48,0,47,27,1,-1,True
29,52,1,51,28,2,-1,True
30,54,1,53,29,1,0,True
31,56,1,55,30,1,0,True
32,58,1,57,31,1,0,True
33,60,0,59,32,1,-1,True
34,63,1,62,33,1,0,True
35,65,1,64,34,1,0,True
36,67,0,66,35,1,-1,True
37,71,1,70,36,2,-1,True
38,73,1,72,37,1,0,True
39,75,1,74,38,1,0,True
40,77,0,76,39,1,-1,True
41,79,0,78,40,1,-1,True
42,81,0,80,41,1,-1,True
43,83,0,82,42,0,0,True
44,85,0,84,43,0,0,True
45,88,0,87,44,0,0,True
46,90,0,89,45,0,0,True
47,92,-1,91,46,0,-1,True
48,94,-1,93,47,0,-1,True
49,96,-1,95,48,0,-1,True
50,99,-1,98,49,0,-1,True
51,102,-1,101,50,0,-1,True
52,104,-1,103,51,0,-1,True
53,106,-1,105,52,-1,0,True
54,108,-1,107,53,-1,0,True
55,111,-1,110,54,-1,0,True
56,113,-2,112,55,-1,-1,True
57,116,-1,115,56,-1,0,True
58,119,-1,118,57,-1,0,True
59,121,-2,120,58,-1,-1,True
60,124,-1,123,59,-1,0,True
61,126,-2,125,60,-1,-1,True
62,128,-2,127,61,-1,-1,True
63,130,-2,129,62,-2,0,True
64,133,-2,132,63,-2,0,True
65,135,-2,134,64,-2,0,True
66,138,-2,137,65,-2,0,True
67,140,-3,139,66,-2,-1,True
68,142,-3,141,67,-2,-1,True
69,144,-3,143,68,-3,0,True
70,148,-3,147,69,-2,-1,True
71,150,-3,149,70,-2,-1,True
72,153,-3,152,71,-2,-1,True
73,155,-3,154,72,-3,0,True
83,184,-3,183,82,-3,0,True
85,191,-3,190,84,-2,-1,True
86,193,-3,192,85,-2,-1,True
87,197,-3,196,86,-2,-1,True
88,201,-2,200,87,-2,0,True
89,205,-2,204,88,-1,-1,True
90,208,-2,207,89,-1,-1,True
91,211,-2,210,90,-1,-1,True
92,215,-2,214,91,-1,-1,True
93,219,-1,218,92,-1,0,True
94,221,-2,220,93,-1,-1,True
95,223,-2,222,94,-1,-1,True
96,231,0,230,95,1,-1,True
97,233,-1,232,96,0,-1,True
98,237,0,236,97,1,-1,True
99,239,-1,238,98,0,-1,True
100,241,-1,240,99,0,-1,True
101,244,-1,243,100,0,-1,True
102,248,-1,247,101,0,-1,True
103,251,-1,250,102,0,-1,True
104,253,-1,252,103,0,-1,True
105,255,-1,254,104,-1,0,True
106,258,-2,257,105,-1,-1,True
107,260,-2,259,106,-1,-1,True
108,263,-2,262,107,-1,-1,True
109,265,-2,264,108,-2,0,True
110,267,-3,266,109,-2,-1,True
111,272,-2,271,110,-1,-1,True
112,276,-2,275,111,-1,-1,True
113,278,-2,277,112,-1,-1,True
114,284,-1,283,113,0,-1,True
115,287,-1,286,114,0,-1,True
116,289,-2,288,115,-1,-1,True
117,291,-2,290,116,-1,-1,True
118,293,-2,292,117,-2,0,True
