z,residual_mag,err_mag
2.848799999999999943e-02,-2.698307323642481492e-01,1.499999999999999944e-01
5.004299999999999721e-02,-1.798283737706753982e-01,1.499999999999999944e-01
5.292600000000000082e-02,-1.690857283475111217e-01,1.499999999999999944e-01
7.008599999999999552e-02,-1.672290244580736385e-01,1.499999999999999944e-01
6.266800000000000148e-02,1.198427966311115256e-01,1.499999999999999944e-01
8.758900000000000019e-02,1.136073749994324089e-01,1.499999999999999944e-01
7.857699999999999407e-02,-3.826028107765466757e-01,1.499999999999999944e-01
1.722699999999999926e-02,1.421257428689699509e-01,1.499999999999999944e-01
4.223299999999999971e-02,-1.492349834322794777e-01,1.499999999999999944e-01
4.529500000000000193e-02,-5.764067672018313715e-04,1.499999999999999944e-01
3.647999999999999854e-02,-2.564159750246588487e-01,1.499999999999999944e-01
1.959899999999999837e-02,-2.096691880872540992e-01,1.499999999999999944e-01
1.009150000000000047e-01,2.074111158866287496e-02,1.499999999999999944e-01
2.734200000000000172e-02,-4.402851145486508244e-01,1.499999999999999944e-01
7.460500000000000465e-02,-1.660552849228338346e-01,1.499999999999999944e-01
2.648899999999999866e-02,2.435584056328821134e-02,1.499999999999999944e-01
4.992200000000000110e-02,-2.898419148853577099e-01,1.499999999999999944e-01
3.060399999999999926e-02,-2.239781835623304573e-01,1.499999999999999944e-01
1.634564100000000103e-02,-3.532394255642898884e-01,1.499999999999999944e-01
1.543630000000000002e-02,-3.310557691097173461e-01,1.499999999999999944e-01
3.052900000000000058e-02,-1.695635330708711308e-01,1.499999999999999944e-01
2.452500000000000166e-02,-2.288053429840672948e-01,1.499999999999999944e-01
2.395299999999999860e-02,-2.664161914936826747e-01,1.499999999999999944e-01
2.603799999999999865e-02,-5.130251188862899880e-02,1.499999999999999944e-01
4.894799999999999846e-02,-8.143327360864560660e-02,1.499999999999999944e-01
2.431399999999999881e-02,-1.584951943189665258e-01,1.499999999999999944e-01
1.516600000000000066e-02,-1.316884353974003830e-01,1.499999999999999944e-01
3.572000000000000175e-02,-1.546887058011705562e-01,1.499999999999999944e-01
4.881800000000000028e-02,-4.251115547695363261e-01,1.499999999999999944e-01
2.198000599999999985e-02,-1.934065384141661070e-01,1.499999999999999944e-01
1.243999999999999967e-01,1.319505796176940748e-01,1.499999999999999944e-01
3.599999999999999728e-02,-3.114592571445911062e-01,1.499999999999999944e-01
1.632099999999999870e-02,-3.765438855935343554e-01,1.499999999999999944e-01
1.672999999999999834e-02,-2.218093601382236102e-01,1.499999999999999944e-01
2.750000000000000014e-02,1.109768160235873324e-01,1.499999999999999944e-01
2.179299999999999987e-02,-5.384111589494011696e-02,1.499999999999999944e-01
1.644999999999999934e-02,-2.299018218445638695e-01,1.499999999999999944e-01
2.320799999999999946e-02,-8.018568837570683172e-02,1.499999999999999944e-01
3.645700000000000329e-02,-2.611135854021284786e-02,1.499999999999999944e-01
1.926399999999999987e-02,1.955199728649290591e-01,1.499999999999999944e-01
1.760499999999999912e-02,-2.159826077488631313e-01,1.499999999999999944e-01
3.152800000000000047e-02,-1.110063386281368025e-01,1.499999999999999944e-01
2.353600000000000136e-02,-2.695066469611617777e-02,1.499999999999999944e-01
1.674300000000000094e-02,-4.471192553358989130e-01,1.499999999999999944e-01
5.371000000000000080e-02,-5.430700212184120801e-01,1.499999999999999944e-01
1.699099999999999916e-02,-1.032676166781740790e-01,1.499999999999999944e-01
2.786500000000000088e-02,-4.743663956663297654e-01,1.499999999999999944e-01
1.717300000000000076e-02,-2.446978536018562522e-01,1.499999999999999944e-01
2.995499999999999899e-02,2.452667666682941672e-01,1.499999999999999944e-01
1.655900000000000080e-02,-8.182142723253349459e-02,1.499999999999999944e-01
1.499999999999999944e-02,-4.577509126930578987e-02,1.499999999999999944e-01
5.439999999999999697e-02,-9.349634103818971198e-02,1.499999999999999944e-01
1.560999999999999888e-01,-2.060232965166548524e-01,1.499999999999999944e-01
3.930000000000000160e-02,8.036743116754507810e-03,1.499999999999999944e-01
1.241000000000000020e-01,-8.527746720736928410e-02,1.499999999999999944e-01
1.441000000000000059e-01,-4.144758017724612387e-01,1.499999999999999944e-01
1.298999999999999877e-01,-3.278858419462693519e-02,1.499999999999999944e-01
7.839999999999999747e-02,-1.834517694413477784e-01,1.499999999999999944e-01
5.829999999999999766e-02,-1.696217324931197368e-01,1.499999999999999944e-01
3.090000000000000038e-02,1.340452899359902972e-01,1.499999999999999944e-01
4.059999999999999720e-02,-3.273892776429931928e-02,1.499999999999999944e-01
1.519999999999999997e-02,-2.213497084766018475e-01,1.499999999999999944e-01
2.239999999999999977e-02,-1.408382287586462667e-01,1.499999999999999944e-01
1.600000000000000033e-02,-1.764736327288858320e-01,1.499999999999999944e-01
3.620000000000000301e-02,-1.578444486010326386e-01,1.499999999999999944e-01
1.729999999999999941e-02,-2.717693456068914770e-01,1.499999999999999944e-01
3.119999999999999857e-02,-1.899127048838806786e-01,1.499999999999999944e-01
2.210000000000000159e-02,-1.467794828241366645e-01,1.499999999999999944e-01
1.600000000000000033e-02,-5.258801327288864513e-01,1.499999999999999944e-01
2.489999999999999852e-02,-5.166162936167424391e-01,1.499999999999999944e-01
3.030000000000000054e-02,-1.239580612705069029e-01,1.499999999999999944e-01
2.829999999999999877e-02,-8.156899015126839458e-02,1.499999999999999944e-01
1.519999999999999997e-02,2.011578152340121051e-02,1.499999999999999944e-01
3.450000000000000289e-02,-6.025078050227961057e-02,1.499999999999999944e-01
3.599999999999999728e-02,-4.532166771445886866e-01,1.499999999999999944e-01
2.479999999999999913e-02,-5.530202468690958995e-02,1.499999999999999944e-01
2.920000000000000026e-02,3.218003930051196448e-01,1.499999999999999944e-01
1.629999999999999852e-02,6.210609035458958260e-02,1.499999999999999944e-01
1.870000000000000134e-02,3.563294727453083510e-01,1.499999999999999944e-01
1.949999999999999997e-02,-2.687334370046556842e-02,1.499999999999999944e-01
2.560000000000000123e-02,3.034571085481232444e-01,1.499999999999999944e-01
3.370000000000000079e-02,-1.430207166840631317e-01,1.499999999999999944e-01
5.460000000000000270e-02,-4.465460592319274724e-01,1.499999999999999944e-01
2.400000000000000050e-02,-6.324706556054593420e-02,1.499999999999999944e-01
3.359999999999999792e-02,2.523809039090707529e-02,1.499999999999999944e-01
3.409999999999999837e-02,-1.708494480018387662e-01,1.499999999999999944e-01
2.610000000000000167e-02,-6.337653924816777362e-02,1.499999999999999944e-01
2.110000000000000070e-02,-2.960029158722079501e-01,1.499999999999999944e-01
3.209999999999999659e-02,1.657764778376957793e-02,1.499999999999999944e-01
2.210000000000000159e-02,-1.362001428241370604e-01,1.499999999999999944e-01
3.339999999999999913e-02,-8.704315197817180660e-02,1.499999999999999944e-01
3.409999999999999837e-02,-7.021330800183989140e-02,1.499999999999999944e-01
4.209999999999999853e-02,-7.824271400973970003e-02,1.499999999999999944e-01
5.759999999999999842e-02,-9.505324529381198317e-02,1.499999999999999944e-01
2.050000000000000086e-02,-2.761621364134185797e-01,1.499999999999999944e-01
4.019999999999999962e-02,-1.926400329921307275e-03,1.499999999999999944e-01
2.599999999999999881e-02,-3.405993886081404298e-02,1.499999999999999944e-01
2.589999999999999941e-02,9.088816125945697877e-03,1.499999999999999944e-01
2.390000000000000110e-02,-1.952863858993438839e-01,1.499999999999999944e-01
6.900000000000000577e-02,-1.291657628608078312e-02,1.499999999999999944e-01
6.510000000000000508e-02,-1.420078623703773246e-01,1.499999999999999944e-01
2.290000000000000022e-02,6.047555828823192314e-02,1.499999999999999944e-01
3.150000000000000022e-02,-1.866801188546034496e-01,1.499999999999999944e-01
2.149999999999999828e-02,-6.518859217611350232e-02,1.499999999999999944e-01
2.549999999999999836e-02,3.475128064571393338e-01,1.499999999999999944e-01
3.250000000000000111e-02,-9.363562182704754377e-02,1.499999999999999944e-01
8.429999999999999993e-02,2.273460174726693594e-02,1.499999999999999944e-01
3.080000000000000099e-02,-1.593031744272863648e-01,1.499999999999999944e-01
3.269999999999999990e-02,1.739090423713136602e-01,1.499999999999999944e-01
4.229999999999999732e-02,-9.638012107139104501e-02,1.499999999999999944e-01
6.840000000000000246e-02,1.718001837359395267e-01,1.499999999999999944e-01
1.529999999999999936e-02,4.545858341755604215e-01,1.499999999999999944e-01
2.330000000000000127e-02,-2.922880082624104148e-01,1.499999999999999944e-01
4.909999999999999781e-02,-8.978356203094506327e-02,1.499999999999999944e-01
4.250000000000000305e-02,-5.715538974504923431e-01,1.499999999999999944e-01
1.919999999999999832e-02,-1.312114325761370992e-02,1.499999999999999944e-01
3.080000000000000099e-02,-9.147744427288273528e-03,1.499999999999999944e-01
2.120000000000000009e-02,-1.199596079935716375e-01,1.499999999999999944e-01
2.769999999999999893e-02,1.503289437679100615e-01,1.499999999999999944e-01
3.350000000000000200e-02,2.529036240872528651e-04,1.499999999999999944e-01
2.079999999999999905e-02,-1.298512496138570782e-01,1.499999999999999944e-01
1.729999999999999941e-02,-2.914381056068933162e-01,1.499999999999999944e-01
3.599999999999999728e-02,1.382250285541175572e-02,1.499999999999999944e-01
2.330000000000000127e-02,2.394074173759008772e-02,1.499999999999999944e-01
5.890000000000000097e-02,-1.134476326923561373e-01,1.499999999999999944e-01
5.829999999999999766e-02,-1.439637524931143275e-01,1.499999999999999944e-01
6.880000000000000004e-02,-8.582474940271822561e-02,1.499999999999999944e-01
3.209999999999999659e-02,-2.313400922162287543e-01,1.499999999999999944e-01
5.220000000000000334e-02,-2.817270336490338423e-01,1.499999999999999944e-01
3.080000000000000099e-02,-1.947797644272881712e-01,1.499999999999999944e-01
3.289999999999999869e-02,8.060525819296060490e-03,1.499999999999999944e-01
2.299999999999999961e-02,-7.531661647433907092e-02,1.499999999999999944e-01
1.499999999999999944e-02,1.704938187306908048e-01,1.499999999999999944e-01
3.209999999999999659e-02,-9.055092216229354563e-03,1.499999999999999944e-01
6.429999999999999605e-02,-2.455390814816169609e-01,1.499999999999999944e-01
3.200000000000000067e-02,-4.584566301860348858e-02,1.499999999999999944e-01
2.089999999999999844e-02,-2.329298656666765055e-01,1.499999999999999944e-01
2.189999999999999933e-02,-1.893862663747327701e-01,1.499999999999999944e-01
3.200000000000000067e-02,-2.840396830186051602e-01,1.499999999999999944e-01
1.510000000000000057e-02,3.020611700290700696e-01,1.499999999999999944e-01
1.919999999999999832e-02,-2.582372632576124261e-01,1.499999999999999944e-01
2.659999999999999865e-02,-1.420330237165856602e-01,1.499999999999999944e-01
3.769999999999999740e-02,-4.392255915016249901e-01,1.499999999999999944e-01
2.469999999999999973e-02,-3.889075472529199828e-01,1.499999999999999944e-01
2.419999999999999929e-02,-6.828408247747574933e-02,1.499999999999999944e-01
3.660000000000000059e-02,-1.977035173331813667e-01,1.499999999999999944e-01
2.290000000000000022e-02,2.234458288235430246e-03,1.499999999999999944e-01
3.119999999999999857e-02,6.613609511612139613e-02,1.499999999999999944e-01
1.499999999999999944e-02,-9.786802126930638224e-02,1.499999999999999944e-01
3.409999999999999837e-02,-2.422793880018403456e-01,1.499999999999999944e-01
2.510000000000000078e-02,-3.896309846607550753e-01,1.499999999999999944e-01
1.890000000000000013e-02,-3.405821840089870989e-01,1.499999999999999944e-01
2.980213699999999938e-02,-2.447994047382522353e-01,1.499999999999999944e-01
3.213401700000000083e-02,-5.036245613937069265e-01,1.499999999999999944e-01
2.756872600000000173e-02,-6.874959011106795970e-02,1.499999999999999944e-01
4.696733499999999895e-02,-2.268860106734962301e-01,1.499999999999999944e-01
1.831523200000000073e-02,-2.746606541573086702e-01,1.499999999999999944e-01
8.004814400000000163e-02,-2.267959220752615579e-01,1.499999999999999944e-01
2.418529900000000038e-02,-2.040053347297714481e-01,1.499999999999999944e-01
1.502704300000000034e-02,-2.630276871497869706e-01,1.499999999999999944e-01
2.839602700000000077e-02,-6.114710831521819046e-02,1.499999999999999944e-01
4.497667300000000173e-02,-7.481022082993860067e-02,1.499999999999999944e-01
3.291237100000000276e-02,3.331471249407513824e-02,1.499999999999999944e-01
7.535011199999999687e-02,-1.964044639761013400e-01,1.499999999999999944e-01
2.037472499999999978e-02,-2.235549877440661248e-01,1.499999999999999944e-01
2.297116800000000014e-02,-9.321891936714621352e-03,1.499999999999999944e-01
2.680919699999999989e-02,-2.226071739626078738e-01,1.499999999999999944e-01
1.793128299999999925e-02,-2.501820359146904593e-01,1.499999999999999944e-01
4.839219499999999896e-02,-1.018272516721836496e-01,1.499999999999999944e-01
5.668336699999999839e-02,-1.759199072006296660e-01,1.499999999999999944e-01
6.386408400000000152e-02,-8.988808153885941010e-02,1.499999999999999944e-01
1.462902959999999863e-01,2.737040908130197181e-01,1.499999999999999944e-01
1.292782070000000061e-01,-8.296843032467648982e-02,1.499999999999999944e-01
1.027150339999999967e-01,1.111854575967186065e-02,1.499999999999999944e-01
2.425046800000000002e-01,-3.373128697631884165e-01,1.499999999999999944e-01
2.984092740000000021e-01,9.829854963573581017e-02,1.499999999999999944e-01
4.371891099999999919e-02,-1.757515124750739233e-01,1.499999999999999944e-01
1.130426449999999972e-01,-1.426769003953154424e-01,1.499999999999999944e-01
2.564757429999999783e-01,9.763701338428631971e-03,1.499999999999999944e-01
2.955855499999999747e-01,1.958650509916282090e-01,1.499999999999999944e-01
3.803594869999999961e-01,1.032622958477773523e-01,1.499999999999999944e-01
1.456685470000000093e-01,-2.187654166853931770e-01,1.499999999999999944e-01
2.734547689999999864e-01,-2.712119769607568287e-02,1.499999999999999944e-01
2.975188340000000098e-01,-1.846948998249260399e-01,1.499999999999999944e-01
3.789658020000000183e-01,3.626173847815294948e-02,1.499999999999999944e-01
3.804165139999999834e-01,-2.822638254230298571e-01,1.499999999999999944e-01
3.017550299999999797e-01,5.028257394580109008e-01,1.499999999999999944e-01
3.483450209999999769e-01,-3.136051921413951504e-02,1.499999999999999944e-01
