# redshift distance_modulus sigma_mu
0.028488 35.34658339 0.164901
0.050043 36.68236792 0.145852
0.052926 36.81769125 0.169431
0.070086 37.44673654 0.195691
0.062668 37.48340935 0.142975
0.087589 38.22905705 0.142976
0.078577 37.48816226 0.197376
0.017227 34.65436995 0.173023
0.042233 36.33645955 0.135916
0.045295 36.64027218 0.166277
0.036480 35.90532197 0.136097
0.019599 34.58521743 0.136028
0.100915 38.45674560 0.125918
0.027342 35.08576569 0.092602
0.074605 37.58811576 0.098252
0.026489 35.48068520 0.133131
0.049922 36.56697347 0.119615
0.030604 35.55023776 0.159427
0.016346 34.04402778 0.122759
0.015436 33.94094840 0.107631
0.030529 35.59924572 0.193969
0.024525 35.05817066 0.143227
0.023953 34.96871038 0.152026
0.026038 35.36726207 0.107258
0.048948 36.73159740 0.133669
0.024314 35.10949506 0.153328
0.015166 34.10166662 0.115470
0.035720 35.96054064 0.161271
0.048818 36.38201078 0.131981
0.021980 34.85297336 0.141249
0.124400 39.04478851 0.105701
0.036000 35.82101710 0.205568
0.016321 34.01742111 0.149595
0.016730 34.22633717 0.118269
0.027500 35.64970591 0.174676
0.021793 34.97378687 0.113375
0.016450 34.18129629 0.156266
0.023208 35.08554272 0.091210
0.036457 36.13423313 0.110154
0.019264 34.95261373 0.155906
0.017605 34.34379570 0.172154
0.031528 35.72876878 0.155141
0.023536 35.16959909 0.146531
0.016743 34.00272780 0.140967
0.053710 36.47643849 0.105644
0.016991 34.37877181 0.128405
0.027865 35.09337833 0.136181
0.017173 34.26067146 0.181714
0.029955 35.97225783 0.160309
0.016559 34.34383381 0.097109
0.015000 34.16350389 0.159723
0.054400 36.95443541 0.138448
0.156100 39.22925402 0.103973
0.039300 36.33439501 0.168350
0.124100 38.82203340 0.144937
0.144100 38.83604230 0.142607
0.129900 38.97918547 0.100005
0.078400 37.68224045 0.140724
0.058300 37.03263017 0.159938
0.030900 35.92947288 0.179266
0.040600 36.36563513 0.135625
0.015200 34.01690430 0.144430
0.022400 34.94708720 0.116810
0.016000 34.17401539 0.114114
0.036200 35.98687060 0.174376
0.017300 34.24973480 0.190687
0.031200 35.62680976 0.147840
0.022100 34.91154976 0.180106
0.016000 33.82460889 0.160849
0.024900 34.80370708 0.130646
0.030300 35.62826135 0.160842
0.028300 35.52026995 0.196141
0.015200 34.25836979 0.148925
0.034500 35.97824448 0.196939
0.036000 35.67925968 0.080000
0.024800 35.25617751 0.174657
0.029200 35.99256678 0.152611
0.016300 34.45325291 0.141030
0.018700 35.04829985 0.152753
0.019500 34.75691168 0.090373
0.025600 35.68472179 0.143410
0.033700 35.84369332 0.160713
0.054600 36.60955851 0.194337
0.024000 35.17618578 0.134452
0.033600 36.00539455 0.125745
0.034100 35.84190470 0.134947
0.026100 35.36041779 0.177462
0.021100 34.66071824 0.159863
0.032100 35.89599457 0.134107
0.022100 34.92212910 0.165398
0.033400 35.87994030 0.152912
0.034100 35.94254084 0.179059
0.042100 36.40046503 0.128938
0.057600 37.08025666 0.140170
0.020500 34.61728007 0.138237
0.040200 36.37453308 0.106095
0.026000 35.38129323 0.158884
0.025900 35.41596869 0.157832
0.023900 35.03497414 0.150153
0.069000 37.56604798 0.142962
0.065100 37.30669080 0.107539
0.022900 35.19686717 0.137381
0.031500 35.65113634 0.139719
0.021500 34.93273633 0.125932
0.025500 35.72017314 0.145161
0.032500 35.81309142 0.162122
0.084300 38.05183112 0.206586
0.030800 35.62898081 0.155237
0.032700 36.09416721 0.157727
0.042300 36.39282590 0.147767
0.068400 37.73119698 0.092437
0.015300 34.70718573 0.149205
0.023300 34.88212867 0.151807
0.049100 36.73013588 0.223897
0.042500 35.92810181 0.144229
0.019200 34.73667845 0.159046
0.030800 35.77913624 0.148959
0.021200 34.84713453 0.114940
0.027700 35.70500377 0.184285
0.033500 35.97383254 0.172558
0.020800 34.79545637 0.173731
0.017300 34.23006604 0.122718
0.036000 36.14629886 0.192084
0.023300 35.19835742 0.107944
0.058900 37.11164751 0.167606
0.058300 37.05828815 0.215714
0.068800 37.48663565 0.120284
0.032100 35.64807683 0.133011
